# python chi2 = 43.07238787198397
#  xi0 x12 xi0err xi2err
2.658303307847091457e+00 8.561792155658570769e-01 7.447207725700651093e-02 1.374192103118015429e-01
2.038184939355619729e+00 3.774015442893515204e-01 4.982977833410165425e-02 1.273270967277769228e-01
1.607080575923676813e+00 1.019404173497160532e-01 4.251416827040263580e-02 1.074001518456362686e-01
1.288791477682582842e+00 -6.030523424630603035e-02 2.875751501681343691e-02 7.346264047479592052e-02
1.059469093547453555e+00 -1.375002911312996901e-01 2.160940914613723035e-02 6.667836160392766331e-02
8.853911924415657220e-01 -1.604346628406934927e-01 2.982336848352373088e-02 6.886922767061891271e-02
7.494639794868613869e-01 -1.937927792437461882e-01 3.143913950825513726e-02 5.508818386325263494e-02
6.416466590311736828e-01 -1.870264982030572787e-01 1.766269754819250679e-02 4.887538053529612986e-02
5.448536533998838971e-01 -1.929915512352912421e-01 2.349917220792726094e-02 4.347542934338816112e-02
4.756381193952255448e-01 -1.849877330027457079e-01 1.879301927341809134e-02 3.766047063822028362e-02
4.146938516044905709e-01 -1.676431040078036339e-01 1.570956427560104077e-02 3.095267112193526848e-02
3.678033434502818722e-01 -1.613044863397329609e-01 1.468908884133999539e-02 3.198535833625618108e-02
3.314807912018665759e-01 -1.635322281893372143e-01 1.396167139072339823e-02 3.398466938093321066e-02
2.932445233799734208e-01 -1.497745667822135696e-01 1.310858103256658073e-02 3.417608987055779229e-02
2.631505261658524386e-01 -1.446596448503265908e-01 1.227105095963645053e-02 2.503124877000433013e-02
2.363668140849540522e-01 -1.336127202760734878e-01 1.145195031852804142e-02 2.151616800928521020e-02
2.143055843648433434e-01 -1.328407643977262409e-01 1.081279593349922415e-02 2.124070497295423715e-02
1.950985673253798069e-01 -1.251979366998989540e-01 1.001860101946900304e-02 1.986373193381139532e-02
1.789389723505949437e-01 -1.125355936717276073e-01 9.273080224934504567e-03 2.221960754442933381e-02
1.626719202694082989e-01 -1.077114895657562271e-01 9.643980903787886458e-03 2.092956562794503345e-02
