# Best-fit parameters: 0.3470285665 106.3086523 0.06069485772
# Maximum log likelihood: -17.31127282
# smin smax xi0 xi2
0 1 26.27710772 41.39504658
1 2 11.41579447 11.47535389
2 3 7.306616358 5.553713986
3 4 5.04593777 3.103036983
4 5 3.629325982 1.701236368
5 6 2.685893218 0.8633700428
6 7 2.030280078 0.3739502829
7 8 1.602995184 0.09954035779
8 9 1.301762796 0.0005790529966
9 10 1.063537947 -0.128724727
10 11 0.8820675645 -0.1904388249
11 12 0.7458795993 -0.1882636773
12 13 0.6373574431 -0.1905901345
13 14 0.5437598891 -0.1859286786
14 15 0.4768610328 -0.1765398502
15 16 0.4153483304 -0.1718741337
16 17 0.3686304043 -0.1657391447
17 18 0.32967964 -0.1608196646
18 19 0.2954408016 -0.1543153713
19 20 0.2649291508 -0.1394482885
20 21 0.2338795935 -0.1384752986
21 22 0.2137823585 -0.1190168978
22 23 0.1968712346 -0.1153614094
23 24 0.1771111153 -0.1166238744
24 25 0.1622147072 -0.1092646442
