# Best-fit parameters: 0.4084786438 108.4910432 0.05374936345
# Maximum log likelihood: -17.62797083
# smin smax xi0 xi2
0 1 26.6121699 41.67351942
1 2 11.30700804 12.5841952
2 3 7.294592595 5.592212467
3 4 5.02206356 3.147416086
4 5 3.577144166 1.727934978
5 6 2.661332591 0.8772854923
6 7 2.025723041 0.4006666964
7 8 1.595199897 0.09399139613
8 9 1.283742852 -0.0008817113346
9 10 1.045385467 -0.1061191071
10 11 0.8838275382 -0.17102917
11 12 0.7460522327 -0.1831227071
12 13 0.63187753 -0.1908929536
13 14 0.548903876 -0.1806678573
14 15 0.4747490935 -0.1669204052
15 16 0.4136478825 -0.1735831095
16 17 0.3685232157 -0.1626495449
17 18 0.3302016728 -0.1663095464
18 19 0.2919298707 -0.1543613216
19 20 0.2648523997 -0.1342705222
20 21 0.2354134735 -0.1358983612
21 22 0.2122835059 -0.1234023548
22 23 0.1909782189 -0.1231758143
23 24 0.1773133255 -0.1180384094
24 25 0.1617728568 -0.10977758
