# bins UNIT SHAM
7.500000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.250000000000000000e+01 1.691300000000000000e+05 0.000000000000000000e+00
3.750000000000000000e+01 2.565771000000000000e+06 0.000000000000000000e+00
5.250000000000000000e+01 1.831855100000000000e+07 0.000000000000000000e+00
6.750000000000000000e+01 3.937670000000000000e+07 0.000000000000000000e+00
8.250000000000000000e+01 3.951741000000000000e+07 0.000000000000000000e+00
9.750000000000000000e+01 2.764654600000000000e+07 0.000000000000000000e+00
1.125000000000000000e+02 1.733762500000000000e+07 0.000000000000000000e+00
1.275000000000000000e+02 1.063069300000000000e+07 0.000000000000000000e+00
1.425000000000000000e+02 6.651984000000000000e+06 0.000000000000000000e+00
1.575000000000000000e+02 4.306285000000000000e+06 0.000000000000000000e+00
1.725000000000000000e+02 2.907465000000000000e+06 0.000000000000000000e+00
1.875000000000000000e+02 2.020366000000000000e+06 1.666666666666666644e-02
2.025000000000000000e+02 1.448318000000000000e+06 4.000000000000000222e-01
2.175000000000000000e+02 1.061799000000000000e+06 3.366666666666666696e+00
2.325000000000000000e+02 7.955470000000000000e+05 1.636666666666666714e+01
2.475000000000000000e+02 6.060500000000000000e+05 6.270000000000000284e+01
2.625000000000000000e+02 4.685900000000000000e+05 1.839166666666666572e+02
2.775000000000000000e+02 3.680360000000000000e+05 4.007333333333333485e+02
2.925000000000000000e+02 2.919630000000000000e+05 7.456000000000000227e+02
3.075000000000000000e+02 2.349830000000000000e+05 1.227466666666666697e+03
3.225000000000000000e+02 1.899630000000000000e+05 1.770333333333333258e+03
3.375000000000000000e+02 1.546080000000000000e+05 2.323266666666666879e+03
3.525000000000000000e+02 1.279510000000000000e+05 2.865116666666666788e+03
3.675000000000000000e+02 1.053750000000000000e+05 3.289533333333333303e+03
3.825000000000000000e+02 8.733000000000000000e+04 3.580433333333333394e+03
3.975000000000000000e+02 7.329100000000000000e+04 3.760116666666666788e+03
4.125000000000000000e+02 6.180500000000000000e+04 3.822650000000000091e+03
4.275000000000000000e+02 5.263600000000000000e+04 3.815650000000000091e+03
4.425000000000000000e+02 4.454600000000000000e+04 3.641883333333333212e+03
4.575000000000000000e+02 3.788800000000000000e+04 3.441183333333333394e+03
4.725000000000000000e+02 3.260500000000000000e+04 3.221266666666666879e+03
4.875000000000000000e+02 2.798700000000000000e+04 2.932683333333333394e+03
5.025000000000000000e+02 2.402100000000000000e+04 2.642366666666666788e+03
5.175000000000000000e+02 2.073700000000000000e+04 2.379066666666666606e+03
5.325000000000000000e+02 1.796500000000000000e+04 2.104466666666666697e+03
5.475000000000000000e+02 1.532600000000000000e+04 1.827883333333333439e+03
5.625000000000000000e+02 1.368000000000000000e+04 1.657400000000000091e+03
5.775000000000000000e+02 1.185400000000000000e+04 1.435483333333333348e+03
5.925000000000000000e+02 1.019400000000000000e+04 1.229549999999999955e+03
6.075000000000000000e+02 8.868000000000000000e+03 1.056316666666666606e+03
6.225000000000000000e+02 7.831000000000000000e+03 9.238500000000000227e+02
6.375000000000000000e+02 6.842000000000000000e+03 7.920333333333333030e+02
6.525000000000000000e+02 6.085000000000000000e+03 7.046166666666666742e+02
6.675000000000000000e+02 5.409000000000000000e+03 6.139833333333333485e+02
6.825000000000000000e+02 4.665000000000000000e+03 5.257666666666666515e+02
6.975000000000000000e+02 4.211000000000000000e+03 4.726666666666666856e+02
7.125000000000000000e+02 3.739000000000000000e+03 4.162333333333333485e+02
7.275000000000000000e+02 3.325000000000000000e+03 3.674333333333333371e+02
7.425000000000000000e+02 2.932000000000000000e+03 3.185000000000000000e+02
7.575000000000000000e+02 2.508000000000000000e+03 2.675833333333333144e+02
7.725000000000000000e+02 2.253000000000000000e+03 2.335833333333333428e+02
7.875000000000000000e+02 2.012000000000000000e+03 2.072166666666666686e+02
8.025000000000000000e+02 1.771000000000000000e+03 1.765500000000000114e+02
8.175000000000000000e+02 1.595000000000000000e+03 1.574333333333333371e+02
8.325000000000000000e+02 1.375000000000000000e+03 1.324000000000000057e+02
8.475000000000000000e+02 1.261000000000000000e+03 1.194666666666666686e+02
8.625000000000000000e+02 1.121000000000000000e+03 1.033166666666666629e+02
8.775000000000000000e+02 1.012000000000000000e+03 8.995000000000000284e+01
8.925000000000000000e+02 8.010000000000000000e+02 7.046666666666666856e+01
9.075000000000000000e+02 7.710000000000000000e+02 6.298333333333333428e+01
9.225000000000000000e+02 7.620000000000000000e+02 6.181666666666666998e+01
9.375000000000000000e+02 6.300000000000000000e+02 4.873333333333333428e+01
9.525000000000000000e+02 5.470000000000000000e+02 4.158333333333333570e+01
9.675000000000000000e+02 5.220000000000000000e+02 3.754999999999999716e+01
9.825000000000000000e+02 4.400000000000000000e+02 3.051666666666666572e+01
9.975000000000000000e+02 3.900000000000000000e+02 2.605000000000000071e+01
1.012500000000000000e+03 3.310000000000000000e+02 2.205000000000000071e+01
1.027500000000000000e+03 3.040000000000000000e+02 1.930000000000000071e+01
1.042500000000000000e+03 2.850000000000000000e+02 1.776666666666666572e+01
1.057500000000000000e+03 2.600000000000000000e+02 1.494999999999999929e+01
1.072500000000000000e+03 2.150000000000000000e+02 1.155000000000000071e+01
1.087500000000000000e+03 1.840000000000000000e+02 1.091666666666666607e+01
1.102500000000000000e+03 1.690000000000000000e+02 8.283333333333333215e+00
1.117500000000000000e+03 1.510000000000000000e+02 7.450000000000000178e+00
1.132500000000000000e+03 1.340000000000000000e+02 6.316666666666666430e+00
1.147500000000000000e+03 1.330000000000000000e+02 6.266666666666666607e+00
1.162500000000000000e+03 1.210000000000000000e+02 5.133333333333333748e+00
1.177500000000000000e+03 1.070000000000000000e+02 4.750000000000000000e+00
1.192500000000000000e+03 9.100000000000000000e+01 3.750000000000000000e+00
1.207500000000000000e+03 8.000000000000000000e+01 2.833333333333333481e+00
1.222500000000000000e+03 8.000000000000000000e+01 3.250000000000000000e+00
1.237500000000000000e+03 8.000000000000000000e+01 2.666666666666666519e+00
1.252500000000000000e+03 5.700000000000000000e+01 1.949999999999999956e+00
1.267500000000000000e+03 3.900000000000000000e+01 1.300000000000000044e+00
1.282500000000000000e+03 4.000000000000000000e+01 1.183333333333333348e+00
1.297500000000000000e+03 4.700000000000000000e+01 1.116666666666666696e+00
1.312500000000000000e+03 4.400000000000000000e+01 1.666666666666666741e+00
1.327500000000000000e+03 4.500000000000000000e+01 1.316666666666666652e+00
1.342500000000000000e+03 1.900000000000000000e+01 4.833333333333333370e-01
1.357500000000000000e+03 2.500000000000000000e+01 6.166666666666666963e-01
1.372500000000000000e+03 2.800000000000000000e+01 5.166666666666667185e-01
1.387500000000000000e+03 2.100000000000000000e+01 5.333333333333333259e-01
1.402500000000000000e+03 1.700000000000000000e+01 3.833333333333333592e-01
1.417500000000000000e+03 1.500000000000000000e+01 3.666666666666666408e-01
1.432500000000000000e+03 1.500000000000000000e+01 3.499999999999999778e-01
1.447500000000000000e+03 1.000000000000000000e+01 1.833333333333333204e-01
1.462500000000000000e+03 1.500000000000000000e+01 2.166666666666666741e-01
1.477500000000000000e+03 1.100000000000000000e+01 1.333333333333333315e-01
1.492500000000000000e+03 5.000000000000000000e+00 1.000000000000000056e-01
inf 1.779105000000000000e+08 6.260000000000000000e+04
