# Best-fit parameters: 1.438249844 99.59073736 1820.794741
# Maximum log likelihood: -14.945403
# smin smax xi0 xi2
0 1 28.38799947 45.61776967
1 2 11.37583359 13.60169015
2 3 7.235582641 6.202628454
3 4 4.947093054 3.271222079
4 5 3.547424667 1.792030823
5 6 2.635831938 0.8887395063
6 7 2.007468907 0.4408142189
7 8 1.576115711 0.1300966237
8 9 1.277075297 -0.02896777954
9 10 1.051099096 -0.09978451481
10 11 0.8733543527 -0.1687012239
11 12 0.7353054859 -0.1716393574
12 13 0.6289386729 -0.1999368752
13 14 0.5450912467 -0.1861671605
14 15 0.4756188102 -0.1863819808
15 16 0.4112633827 -0.1725245346
16 17 0.367768546 -0.1711340799
17 18 0.3277884451 -0.1532094163
18 19 0.2910180915 -0.150500999
19 20 0.2594664706 -0.1485562098
20 21 0.2353957594 -0.1367527278
21 22 0.2121109274 -0.1241763554
22 23 0.1896482171 -0.1235345873
23 24 0.1743947593 -0.1150857372
24 25 0.1592419768 -0.1098284504
