# Best-fit parameters: 0 0 1e+99
# Maximum log likelihood: -3017.989608
# smin smax xi0 xi2
0 1 406.3137738 -41.20284833
1 2 33.06320479 1.972334454
2 3 15.4420945 -0.7604963178
3 4 9.451964315 0.2976812187
4 5 6.62403787 0.4707452761
5 6 4.464090985 -0.1837176119
6 7 3.400659223 0.02349053529
7 8 2.60764102 -0.05418003113
8 9 2.123503853 -0.09801447108
9 10 1.714217241 0.08386497255
10 11 1.47141719 -0.1440672892
11 12 1.226893703 -0.03990108103
12 13 1.054667033 0.02557780206
13 14 0.907799633 0.09416389046
14 15 0.7683327892 0.01732987717
15 16 0.6983356146 0.03139752462
16 17 0.6095810134 0.04521890401
17 18 0.5466754091 -0.008939807751
18 19 0.4860543171 -0.0008779230684
19 20 0.4570706678 0.01454132099
20 21 0.4045992229 -0.03245742718
21 22 0.3451680433 0.03687218061
22 23 0.3084048908 0.03447146487
23 24 0.2910565228 0.0250076793
24 25 0.2800386787 0.001502293292
