# Best-fit parameters: 0 0 1e+99
# xi0 xi2
 53.82835723 91.13470441
 21.59276434 26.51844288
 16.03847312 8.953926453
 11.81304132 6.218212928
 8.573490572 3.593196501
 6.247518869 1.71291161
 4.672792236 0.8745880046
 3.516039838 0.3934951428
 2.748990693 -0.1913004373
 2.206525984 -0.1689214818
 1.849823039 -0.3293482332
 1.535638888 -0.3596274269
 1.281981947 -0.3930666203
 1.078198549 -0.2844888541
 0.9314951835 -0.3186171833
 0.858874802 -0.302103142
 0.761099063 -0.2663916603
 0.6610917367 -0.3113753736
 0.5798966423 -0.2880813514
 0.5105695615 -0.2315666461
 0.473104475 -0.2629422501
 0.4145654674 -0.1866095089
 0.3673601136 -0.190625786
 0.3245131077 -0.1733724152
 0.3043256553 -0.2120186751
