# Best-fit parameters: 0 0 500
# Maximum log likelihood: -90.24245056
# smin smax xi0 xi2
0 1 15.08298479 3.118596596
1 2 11.61922508 3.76740109
2 3 7.336475368 1.965958639
3 4 4.960319915 1.284764874
4 5 3.663905797 0.7326213187
5 6 2.714135847 0.3428388361
6 7 1.931854063 -0.2134008416
7 8 1.532702419 -0.1038561201
8 9 1.26949534 -0.4462287719
9 10 1.005202733 -0.1007461812
10 11 0.8644218151 -0.3533347288
11 12 0.7367683938 -0.1967406125
12 13 0.6423827264 -0.2004834633
13 14 0.5197801396 -0.2135815063
14 15 0.4644066252 -0.2508829412
15 16 0.4140967585 -0.1297021857
16 17 0.3569515094 -0.1664002101
17 18 0.3293771924 -0.15942955
18 19 0.2824722312 -0.1297332256
19 20 0.2619758998 -0.1415058369
20 21 0.2553176793 -0.1121685705
21 22 0.2132250928 -0.1483766434
22 23 0.2004406324 -0.1234309629
23 24 0.1780394437 -0.1284865155
24 25 0.1471029985 -0.09381391596
