# Best-fit parameters: 1 0 1e+99
# Maximum log likelihood: -668.9507569
# smin smax xi0 xi2
0 1 47.71905676 81.05391958
1 2 16.46500751 22.14661827
2 3 10.51652009 8.503500081
3 4 7.147856114 4.261445334
4 5 5.037960356 2.37455952
5 6 3.696393566 1.081032185
6 7 2.758684558 0.4698134619
7 8 2.14442371 0.1422150422
8 9 1.708084766 -0.1239731585
9 10 1.395254378 -0.2006273357
10 11 1.164072867 -0.266771829
11 12 0.9731584596 -0.2701542954
12 13 0.8270685167 -0.2818115491
13 14 0.7027139568 -0.2530715613
14 15 0.6126687851 -0.2368899598
15 16 0.5356136575 -0.2176780679
16 17 0.4807446889 -0.2212903932
17 18 0.4210980759 -0.2001048042
18 19 0.3757628916 -0.1864324189
19 20 0.3380845721 -0.181870432
20 21 0.302913853 -0.1736687041
21 22 0.271283212 -0.153255453
22 23 0.2470159269 -0.1526690869
23 24 0.226507986 -0.1386958449
24 25 0.204622204 -0.1414301341
