# Best-fit parameters: 3.159946709 10.15228144 1056.470208
# Maximum log likelihood: -26.28243586
# smin smax xi0 xi2
0 1 9.271036045 7.586319994
1 2 4.135630581 2.50180553
2 3 2.469308867 0.9858226271
3 4 1.695950142 0.4236022215
4 5 1.248198978 0.1537673886
5 6 0.9606303832 0.008589363882
6 7 0.759319828 -0.05946757117
7 8 0.6135569075 -0.09693242022
8 9 0.5044751069 -0.1197174855
9 10 0.422433666 -0.1316281619
10 11 0.3565583451 -0.1322345509
11 12 0.3045548305 -0.1335372619
12 13 0.26273501 -0.1288250371
13 14 0.228468263 -0.1227501862
14 15 0.1991310824 -0.1146638877
15 16 0.1752124406 -0.1111711638
16 17 0.1553144977 -0.1030305022
17 18 0.1385987344 -0.09820808585
18 19 0.1234661517 -0.09285120816
19 20 0.1107235244 -0.08671876312
20 21 0.1003720007 -0.0839018737
21 22 0.0904594952 -0.07809956084
22 23 0.08166163527 -0.07476665918
23 24 0.07413827621 -0.06944242253
24 25 0.06744280863 -0.06599683932
