# Best-fit parameters: 1.605849829 106.5848841 2046.577163
# Maximum log likelihood: -15.09277877
# smin smax xi0 xi2
0 1 28.53420843 44.4001317
1 2 11.35842776 13.62286467
2 3 7.209718191 6.294007686
3 4 4.960210148 3.262173312
4 5 3.550420752 1.832498509
5 6 2.651162455 0.9331878925
6 7 2.025409245 0.4742431583
7 8 1.584983414 0.1593691704
8 9 1.282418699 -0.00469015549
9 10 1.058345101 -0.09829392992
10 11 0.8825813695 -0.1608179029
11 12 0.7372031742 -0.1736514292
12 13 0.6312507903 -0.1938153444
13 14 0.5457520529 -0.184551943
14 15 0.4789753857 -0.1752271253
15 16 0.4182003654 -0.1738820916
16 17 0.3697221744 -0.1674740578
17 18 0.3295473365 -0.1606621536
18 19 0.2937487331 -0.1451253292
19 20 0.2599950525 -0.1462841603
20 21 0.2357162235 -0.1418936917
21 22 0.2120201544 -0.1310362989
22 23 0.1928138853 -0.1185225119
23 24 0.1749168291 -0.1148105396
24 25 0.1618589718 -0.1105114463
