# Best-fit parameters: 0.1320034893 132.6038407 562.6494812
# Maximum log likelihood: -15.74296015
# smin smax xi0 xi2
# number of tracers: 187800
0 1 18.54867848 21.38082009
1 2 9.863041528 7.277270715
2 3 6.639382148 4.194502778
3 4 4.683507144 2.634519249
4 5 3.4091202 1.566848512
5 6 2.560746371 0.8776274345
6 7 1.971055246 0.4308088269
7 8 1.56894892 0.1489263984
8 9 1.267367961 -0.005569727269
9 10 1.043583332 -0.09956009996
10 11 0.8771150982 -0.1549365384
11 12 0.7360630835 -0.1619779964
12 13 0.6282377251 -0.1680988914
13 14 0.5444217782 -0.1722613437
14 15 0.4735706091 -0.1680759523
15 16 0.4152089539 -0.1583754067
16 17 0.3689889424 -0.1559285065
17 18 0.3283818622 -0.1506152645
18 19 0.294798456 -0.1445516739
19 20 0.26299648 -0.1384796706
20 21 0.2354861192 -0.1306006702
21 22 0.2125726009 -0.1237091291
22 23 0.1936728877 -0.1206339483
23 24 0.1759670962 -0.1137675935
24 25 0.1591736986 -0.1054554451
