# Best-fit parameters: 0.4001768569 122.5680729 2881.739965
# Maximum log likelihood: -47.06458847
# smin smax xi0 xi2
0 1 23.5868833 36.07903096
1 2 9.558728996 11.28495542
2 3 6.00537859 5.216724442
3 4 4.172480328 2.888418818
4 5 3.025346852 1.642382849
5 6 2.271574603 0.8954873286
6 7 1.75192655 0.4494106347
7 8 1.388916704 0.1786541805
8 9 1.122328224 0.02605552385
9 10 0.9235676023 -0.06512121851
10 11 0.7753777286 -0.1251630964
11 12 0.6562829332 -0.1481112329
12 13 0.5608674684 -0.1561263094
13 14 0.4840471527 -0.1589274098
14 15 0.4219989811 -0.1577621306
15 16 0.3699218944 -0.1522427487
16 17 0.3272780068 -0.1467722284
17 18 0.2910460875 -0.1408407328
18 19 0.2595916888 -0.1348684486
19 20 0.2329503295 -0.1297479446
20 21 0.2095780237 -0.12338397
21 22 0.1887263527 -0.1151725698
22 23 0.1710324572 -0.1096129951
23 24 0.1551656177 -0.1032662809
24 25 0.1410754873 -0.09803792443
