# Best-fit parameters: 3.72123576 98.62135313 1309.558193
# Maximum log likelihood: -15.9187429
# smin smax xi0 xi2
0 1 29.6861116 48.05063266
1 2 11.60707726 14.31668998
2 3 7.300136886 6.185515106
3 4 4.970507616 3.370480517
4 5 3.55671253 1.782193295
5 6 2.647204303 0.9468963144
6 7 2.015329797 0.4392676652
7 8 1.589837821 0.1459605954
8 9 1.277350187 -0.01311580119
9 10 1.050663548 -0.1104992589
10 11 0.876530741 -0.1747906899
11 12 0.7436257748 -0.1860322716
12 13 0.6324214621 -0.199470142
13 14 0.5452216445 -0.1891407054
14 15 0.474415206 -0.1837390028
15 16 0.4137253356 -0.1695524843
16 17 0.3681876689 -0.1689443383
17 18 0.3270915727 -0.1586275329
18 19 0.2905012765 -0.1436487647
19 20 0.260793487 -0.1428388748
20 21 0.2349957831 -0.1401489983
21 22 0.2134117631 -0.1249226967
22 23 0.1910918514 -0.1176765462
23 24 0.1742801735 -0.1141962773
24 25 0.1595283692 -0.1079641044
