# python chi2 = 54.272
#  xi0 x12
9.645979200284879873e-01 1.835542186972279749e-02
7.632662865368895488e-01 -5.717738497874914894e-02
6.151201020782653961e-01 -9.693996009179765838e-02
5.091850227863891076e-01 -1.167636522049337738e-01
4.225468835577942950e-01 -1.312864844360120131e-01
3.564242038613441577e-01 -1.344841198434059970e-01
3.056998551719122270e-01 -1.332286543547806790e-01
2.648324004410963495e-01 -1.282749846643435887e-01
2.296282177141993619e-01 -1.233239781218315317e-01
2.003660813602929636e-01 -1.163521731100625178e-01
1.774281138375732036e-01 -1.122579647526421032e-01
1.567510953808822771e-01 -1.035410938726941260e-01
1.397984195985685352e-01 -9.773961863528460303e-02
1.246473547638531493e-01 -9.387234981964938385e-02
1.117724124153825910e-01 -8.851966779987847922e-02
1.002956250083809064e-01 -8.276982314557651543e-02
9.054236572936641414e-02 -7.891741097008583838e-02
8.232599812562005348e-02 -7.510662683445437637e-02
7.474853961830674187e-02 -7.001319491106264281e-02
6.718618688529023886e-02 -6.562707403543042994e-02
