# Best-fit parameters: 2.870659692 8.502187771 339.5061576
# Maximum log likelihood: -26.65728658
# smin smax xi0 xi2
0 1 9.374274766 7.748742936
1 2 4.169484009 2.519552052
2 3 2.482091588 0.9849400519
3 4 1.701604206 0.427404954
4 5 1.254646578 0.1572309341
5 6 0.9650664866 0.01239194663
6 7 0.7626895905 -0.05962870834
7 8 0.6157453799 -0.1004154389
8 9 0.5073583606 -0.1207462579
9 10 0.4238284049 -0.1322227115
10 11 0.3574893528 -0.1333978766
11 12 0.3056516691 -0.1340330796
12 13 0.2636323104 -0.1285983403
13 14 0.2297890989 -0.1237739521
14 15 0.2010553788 -0.1154192476
15 16 0.176295159 -0.1117439306
16 17 0.1560018085 -0.1033768208
17 18 0.1389968853 -0.09848511504
18 19 0.123804528 -0.09247795871
19 20 0.1116707712 -0.08694247899
20 21 0.1005240079 -0.08304786091
21 22 0.0906416767 -0.07832287106
22 23 0.08226109963 -0.07399440588
23 24 0.07455241649 -0.06983293105
24 25 0.06769701136 -0.06581431152
