# python chi2 = 35.165
#  xi0 x12
2.652188952991291426e+00 9.547094441180487001e-01
2.019477100931084124e+00 4.324105465845950458e-01
1.598309000035654126e+00 1.667073749690387297e-01
1.280949497249443958e+00 -1.547835324262787290e-02
1.052740124736261551e+00 -1.090645145054411763e-01
8.817960914752350776e-01 -1.558380464104743013e-01
7.384972850285521639e-01 -1.830418338681512880e-01
6.320431451455580385e-01 -1.811820840575065483e-01
5.460416197018155282e-01 -1.772963508232048568e-01
4.793840962581920606e-01 -1.822502389903860598e-01
4.151444879201330873e-01 -1.762197458027043306e-01
3.678679672903449882e-01 -1.669459786387083866e-01
3.233094590359767428e-01 -1.617645585576855671e-01
2.903023114157300966e-01 -1.470753311711554268e-01
2.624279529508394271e-01 -1.439613219421235768e-01
2.334681433353462954e-01 -1.425405372788761948e-01
2.137345929012730572e-01 -1.316534937188266197e-01
1.911414820744266052e-01 -1.286853993734799473e-01
1.763163682586460779e-01 -1.185022267015932856e-01
1.593840454328097622e-01 -1.190952118023380774e-01
