# bins UNIT SHAM
7.500000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.250000000000000000e+01 1.646520000000000000e+05 0.000000000000000000e+00
3.750000000000000000e+01 2.426325000000000000e+06 0.000000000000000000e+00
5.250000000000000000e+01 1.765504000000000000e+07 5.666666666666666519e-01
6.750000000000000000e+01 3.900070800000000000e+07 2.018333333333333428e+02
8.250000000000000000e+01 4.026320600000000000e+07 3.690199999999999818e+03
9.750000000000000000e+01 2.839429900000000000e+07 1.540420000000000073e+04
1.125000000000000000e+02 1.782203400000000000e+07 2.961943333333333430e+04
1.275000000000000000e+02 1.091804000000000000e+07 3.728613333333333139e+04
1.425000000000000000e+02 6.821834000000000000e+06 3.740063333333333139e+04
1.575000000000000000e+02 4.409773000000000000e+06 3.333806666666666570e+04
1.725000000000000000e+02 2.972349000000000000e+06 2.795676666666666642e+04
1.875000000000000000e+02 2.061473000000000000e+06 2.256990000000000146e+04
2.025000000000000000e+02 1.474115000000000000e+06 1.784486666666666497e+04
2.175000000000000000e+02 1.079286000000000000e+06 1.400933333333333394e+04
2.325000000000000000e+02 8.070050000000000000e+05 1.097533333333333394e+04
2.475000000000000000e+02 6.134800000000000000e+05 8.572000000000000000e+03
2.625000000000000000e+02 4.733810000000000000e+05 6.712033333333333758e+03
2.775000000000000000e+02 3.709470000000000000e+05 5.274800000000000182e+03
2.925000000000000000e+02 2.936670000000000000e+05 4.194699999999999818e+03
3.075000000000000000e+02 2.354900000000000000e+05 3.332400000000000091e+03
3.225000000000000000e+02 1.899620000000000000e+05 2.642566666666666606e+03
3.375000000000000000e+02 1.547880000000000000e+05 2.129900000000000091e+03
3.525000000000000000e+02 1.276620000000000000e+05 1.713866666666666561e+03
3.675000000000000000e+02 1.048710000000000000e+05 1.384700000000000045e+03
3.825000000000000000e+02 8.695900000000000000e+04 1.122433333333333394e+03
3.975000000000000000e+02 7.265200000000000000e+04 9.235333333333333030e+02
4.125000000000000000e+02 6.132500000000000000e+04 7.617666666666666515e+02
4.275000000000000000e+02 5.191000000000000000e+04 6.331333333333333258e+02
4.425000000000000000e+02 4.411300000000000000e+04 5.198999999999999773e+02
4.575000000000000000e+02 3.721700000000000000e+04 4.286000000000000227e+02
4.725000000000000000e+02 3.193400000000000000e+04 3.587666666666666515e+02
4.875000000000000000e+02 2.750100000000000000e+04 3.004666666666666401e+02
5.025000000000000000e+02 2.345200000000000000e+04 2.573333333333333144e+02
5.175000000000000000e+02 2.018200000000000000e+04 2.125999999999999943e+02
5.325000000000000000e+02 1.753100000000000000e+04 1.786333333333333258e+02
5.475000000000000000e+02 1.498900000000000000e+04 1.485333333333333314e+02
5.625000000000000000e+02 1.306400000000000000e+04 1.271666666666666714e+02
5.775000000000000000e+02 1.156900000000000000e+04 1.107000000000000028e+02
5.925000000000000000e+02 9.767000000000000000e+03 9.220000000000000284e+01
6.075000000000000000e+02 8.588000000000000000e+03 7.786666666666666003e+01
6.225000000000000000e+02 7.502000000000000000e+03 6.293333333333333002e+01
6.375000000000000000e+02 6.514000000000000000e+03 5.556666666666666998e+01
6.525000000000000000e+02 5.843000000000000000e+03 4.843333333333333002e+01
6.675000000000000000e+02 5.140000000000000000e+03 4.236666666666666714e+01
6.825000000000000000e+02 4.478000000000000000e+03 3.710000000000000142e+01
6.975000000000000000e+02 3.964000000000000000e+03 3.053333333333333499e+01
7.125000000000000000e+02 3.527000000000000000e+03 2.916666666666666785e+01
7.275000000000000000e+02 3.116000000000000000e+03 2.496666666666666501e+01
7.425000000000000000e+02 2.789000000000000000e+03 2.166666666666666785e+01
7.575000000000000000e+02 2.316000000000000000e+03 1.750000000000000000e+01
7.725000000000000000e+02 2.117000000000000000e+03 1.486666666666666714e+01
7.875000000000000000e+02 1.951000000000000000e+03 1.433333333333333393e+01
8.025000000000000000e+02 1.642000000000000000e+03 1.040000000000000036e+01
