# python chi2 = 34.193
#  xi0 x12 xi0err xi2err
2.617511188590149640e+00 9.928978893482764967e-01 7.289875929358077822e-02 1.608320821663187794e-01
2.022866897295187538e+00 4.492749250706442044e-01 5.563154867778971613e-02 1.310033232880686016e-01
1.579660389380570296e+00 1.461738017203697282e-01 4.936657060279053821e-02 1.029354210579393747e-01
1.272096855853561692e+00 -5.031076884283702463e-03 3.107009577884971632e-02 7.736691973028625435e-02
1.040481112514535678e+00 -9.092671286121031815e-02 2.668267333873200822e-02 8.285311380199185394e-02
8.662745804772552516e-01 -1.522655058913607862e-01 3.219264166808108452e-02 6.271490204958642123e-02
7.391929335576239435e-01 -1.996930840069274238e-01 2.392082689953281896e-02 4.641825294929122214e-02
6.252193679211531796e-01 -1.755551514262169155e-01 1.974927091730760767e-02 4.799366210985168968e-02
5.437770589387586062e-01 -1.897367952302147498e-01 1.800222219072965951e-02 4.543071900345208719e-02
4.720530521913212652e-01 -1.888675104375781566e-01 2.136856620433061696e-02 3.608574757955960999e-02
4.139052380521161534e-01 -1.709764602478454354e-01 1.735295805038288008e-02 3.055284975510852083e-02
3.623103170449271659e-01 -1.699625436323316252e-01 1.658728586028336213e-02 3.701726321259551922e-02
3.292269353854231917e-01 -1.649831927549434973e-01 1.546616309373945522e-02 2.823163221944719956e-02
2.885346114856000566e-01 -1.502552832666093352e-01 1.062692321710863655e-02 3.254003435431185309e-02
2.605877049106338217e-01 -1.537080872158110012e-01 1.293917501893541294e-02 2.553749925078484251e-02
2.320252494510970098e-01 -1.418337044684475357e-01 1.488312491223584173e-02 2.621283261168701195e-02
2.107566528066525668e-01 -1.270981321341706771e-01 1.029031100135511384e-02 2.402660652913235148e-02
1.907644894930858037e-01 -1.233569914230403103e-01 9.609208388270333578e-03 2.520654788088384432e-02
1.760492057857278858e-01 -1.107881442292005941e-01 9.916178227631753175e-03 1.934791287863677281e-02
1.571673232350208060e-01 -1.151292782595942782e-01 1.003841399892040596e-02 1.937265029218382048e-02
