# Best-fit parameters: 2.623885032 74.06964276 3293.177735
# Maximum log likelihood: -17.82360017
# smin smax xi0 xi2
0 1 30.25597115 49.90445055
1 2 11.91494284 14.04423688
2 3 7.410488306 5.999640644
3 4 5.015751988 3.098274897
4 5 3.551781474 1.598179257
5 6 2.622378684 0.7773352766
6 7 1.987617812 0.326427545
7 8 1.567736153 0.05952185868
8 9 1.264482976 -0.07723367576
9 10 1.029499705 -0.1558855219
10 11 0.8713543477 -0.1931909815
11 12 0.733520329 -0.2110263899
12 13 0.6235588866 -0.2118294077
13 14 0.5390381871 -0.1975167455
14 15 0.4691333464 -0.1921323864
15 16 0.4091820062 -0.1780459806
16 17 0.3644733515 -0.1676228295
17 18 0.3226018146 -0.1589067033
18 19 0.2882212105 -0.1493893825
19 20 0.2576655993 -0.1491652448
20 21 0.2317206877 -0.141858352
21 22 0.2111451832 -0.1314894327
22 23 0.1897274257 -0.118586408
23 24 0.1734360994 -0.1123416774
24 25 0.1573268686 -0.1112128075
