# bins UNIT SHAM
7.500000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.250000000000000000e+01 1.702560000000000000e+05 0.000000000000000000e+00
3.750000000000000000e+01 2.711630000000000000e+06 0.000000000000000000e+00
5.250000000000000000e+01 1.892495800000000000e+07 0.000000000000000000e+00
6.750000000000000000e+01 3.968449900000000000e+07 0.000000000000000000e+00
8.250000000000000000e+01 3.876859100000000000e+07 0.000000000000000000e+00
9.750000000000000000e+01 2.692821300000000000e+07 0.000000000000000000e+00
1.125000000000000000e+02 1.687786700000000000e+07 0.000000000000000000e+00
1.275000000000000000e+02 1.035705500000000000e+07 0.000000000000000000e+00
1.425000000000000000e+02 6.486563000000000000e+06 0.000000000000000000e+00
1.575000000000000000e+02 4.206282000000000000e+06 6.666666666666666574e-02
1.725000000000000000e+02 2.844099000000000000e+06 1.533333333333333437e+00
1.875000000000000000e+02 1.979764000000000000e+06 8.366666666666667140e+00
2.025000000000000000e+02 1.421880000000000000e+06 3.523333333333333428e+01
2.175000000000000000e+02 1.043772000000000000e+06 1.066333333333333400e+02
2.325000000000000000e+02 7.834620000000000000e+05 2.403666666666666742e+02
2.475000000000000000e+02 5.979700000000000000e+05 4.615666666666666629e+02
2.625000000000000000e+02 4.635680000000000000e+05 7.792000000000000455e+02
2.775000000000000000e+02 3.645830000000000000e+05 1.156433333333333394e+03
2.925000000000000000e+02 2.895900000000000000e+05 1.580366666666666561e+03
3.075000000000000000e+02 2.338440000000000000e+05 2.018299999999999955e+03
3.225000000000000000e+02 1.893540000000000000e+05 2.394066666666666606e+03
3.375000000000000000e+02 1.544270000000000000e+05 2.701366666666666788e+03
3.525000000000000000e+02 1.278960000000000000e+05 2.966833333333333485e+03
3.675000000000000000e+02 1.056020000000000000e+05 3.125966666666666697e+03
3.825000000000000000e+02 8.781100000000000000e+04 3.199366666666666788e+03
3.975000000000000000e+02 7.368700000000000000e+04 3.193900000000000091e+03
4.125000000000000000e+02 6.213100000000000000e+04 3.136800000000000182e+03
4.275000000000000000e+02 5.291800000000000000e+04 3.076533333333333303e+03
4.425000000000000000e+02 4.514800000000000000e+04 2.952500000000000000e+03
4.575000000000000000e+02 3.826200000000000000e+04 2.751033333333333303e+03
4.725000000000000000e+02 3.306000000000000000e+04 2.606300000000000182e+03
4.875000000000000000e+02 2.850700000000000000e+04 2.413000000000000000e+03
5.025000000000000000e+02 2.453300000000000000e+04 2.216800000000000182e+03
5.175000000000000000e+02 2.106300000000000000e+04 2.027566666666666606e+03
5.325000000000000000e+02 1.835400000000000000e+04 1.851266666666666652e+03
5.475000000000000000e+02 1.581200000000000000e+04 1.656900000000000091e+03
5.625000000000000000e+02 1.387400000000000000e+04 1.508166666666666742e+03
5.775000000000000000e+02 1.222200000000000000e+04 1.375966666666666697e+03
5.925000000000000000e+02 1.046900000000000000e+04 1.203500000000000000e+03
6.075000000000000000e+02 9.254000000000000000e+03 1.091533333333333303e+03
6.225000000000000000e+02 8.132000000000000000e+03 9.688999999999999773e+02
6.375000000000000000e+02 7.222000000000000000e+03 8.812333333333333485e+02
6.525000000000000000e+02 6.273000000000000000e+03 7.746666666666666288e+02
6.675000000000000000e+02 5.542000000000000000e+03 6.821000000000000227e+02
6.825000000000000000e+02 4.832000000000000000e+03 6.041666666666666288e+02
6.975000000000000000e+02 4.444000000000000000e+03 5.625333333333333030e+02
7.125000000000000000e+02 3.937000000000000000e+03 5.038666666666666742e+02
7.275000000000000000e+02 3.445000000000000000e+03 4.283333333333333144e+02
7.425000000000000000e+02 3.120000000000000000e+03 3.998999999999999773e+02
7.575000000000000000e+02 2.642000000000000000e+03 3.336666666666666856e+02
7.725000000000000000e+02 2.410000000000000000e+03 3.099666666666666401e+02
7.875000000000000000e+02 2.141000000000000000e+03 2.711000000000000227e+02
8.025000000000000000e+02 1.872000000000000000e+03 2.303666666666666742e+02
8.175000000000000000e+02 1.758000000000000000e+03 2.181666666666666572e+02
8.325000000000000000e+02 1.471000000000000000e+03 1.815666666666666629e+02
8.475000000000000000e+02 1.345000000000000000e+03 1.640333333333333314e+02
8.625000000000000000e+02 1.228000000000000000e+03 1.495666666666666629e+02
8.775000000000000000e+02 1.076000000000000000e+03 1.265333333333333314e+02
8.925000000000000000e+02 8.790000000000000000e+02 9.826666666666666572e+01
9.075000000000000000e+02 8.170000000000000000e+02 9.473333333333333428e+01
9.225000000000000000e+02 8.200000000000000000e+02 9.729999999999999716e+01
9.375000000000000000e+02 6.560000000000000000e+02 7.700000000000000000e+01
9.525000000000000000e+02 5.870000000000000000e+02 6.613333333333333997e+01
9.675000000000000000e+02 5.650000000000000000e+02 6.463333333333333997e+01
9.825000000000000000e+02 5.020000000000000000e+02 5.723333333333333428e+01
9.975000000000000000e+02 4.230000000000000000e+02 4.483333333333333570e+01
1.012500000000000000e+03 3.700000000000000000e+02 3.970000000000000284e+01
1.027500000000000000e+03 3.470000000000000000e+02 3.816666666666666430e+01
1.042500000000000000e+03 3.080000000000000000e+02 3.300000000000000000e+01
1.057500000000000000e+03 2.860000000000000000e+02 3.043333333333333357e+01
1.072500000000000000e+03 2.360000000000000000e+02 2.456666666666666643e+01
1.087500000000000000e+03 1.980000000000000000e+02 2.050000000000000000e+01
1.102500000000000000e+03 1.890000000000000000e+02 1.873333333333333428e+01
1.117500000000000000e+03 1.750000000000000000e+02 1.823333333333333428e+01
1.132500000000000000e+03 1.450000000000000000e+02 1.419999999999999929e+01
1.147500000000000000e+03 1.500000000000000000e+02 1.483333333333333393e+01
1.162500000000000000e+03 1.350000000000000000e+02 1.266666666666666607e+01
1.177500000000000000e+03 1.150000000000000000e+02 1.080000000000000071e+01
1.192500000000000000e+03 1.020000000000000000e+02 9.433333333333333570e+00
1.207500000000000000e+03 1.070000000000000000e+02 1.059999999999999964e+01
1.222500000000000000e+03 9.100000000000000000e+01 8.466666666666666785e+00
1.237500000000000000e+03 8.400000000000000000e+01 8.366666666666667140e+00
1.252500000000000000e+03 6.300000000000000000e+01 5.733333333333333393e+00
1.267500000000000000e+03 4.900000000000000000e+01 4.066666666666666430e+00
1.282500000000000000e+03 5.700000000000000000e+01 5.166666666666666963e+00
1.297500000000000000e+03 5.100000000000000000e+01 5.033333333333333215e+00
1.312500000000000000e+03 5.000000000000000000e+01 5.099999999999999645e+00
1.327500000000000000e+03 4.900000000000000000e+01 5.166666666666666963e+00
1.342500000000000000e+03 2.900000000000000000e+01 2.733333333333333393e+00
1.357500000000000000e+03 2.900000000000000000e+01 2.500000000000000000e+00
1.372500000000000000e+03 3.100000000000000000e+01 3.266666666666666607e+00
1.387500000000000000e+03 2.400000000000000000e+01 2.399999999999999911e+00
1.402500000000000000e+03 2.700000000000000000e+01 2.233333333333333393e+00
1.417500000000000000e+03 1.900000000000000000e+01 1.800000000000000044e+00
1.432500000000000000e+03 1.300000000000000000e+01 1.133333333333333304e+00
1.447500000000000000e+03 1.500000000000000000e+01 1.533333333333333437e+00
1.462500000000000000e+03 1.600000000000000000e+01 1.233333333333333393e+00
1.477500000000000000e+03 1.100000000000000000e+01 1.300000000000000044e+00
1.492500000000000000e+03 7.000000000000000000e+00 6.333333333333333037e-01
inf 1.763346360000000000e+08 6.260000000000000000e+04
