# Best-fit parameters: 3.122822904 3.596662494 334.4935872
# Maximum log likelihood: -26.58160546
# smin smax xi0 xi2
0 1 9.291081274 7.601754642
1 2 4.148255267 2.500111196
2 3 2.467379353 0.9689907224
3 4 1.694151051 0.4230657813
4 5 1.247095189 0.1524977438
5 6 0.9606392962 0.01064269877
6 7 0.7585274526 -0.0603059997
7 8 0.6132531815 -0.1002555488
8 9 0.5054820405 -0.1206005266
9 10 0.4229837629 -0.1322560482
10 11 0.3561360382 -0.1339474938
11 12 0.3042129458 -0.1339496717
12 13 0.2624800501 -0.1286460113
13 14 0.2288055946 -0.1237818486
14 15 0.200000995 -0.1145448141
15 16 0.1753572841 -0.1110525199
16 17 0.1551046441 -0.1027295863
17 18 0.1384268734 -0.09839171194
18 19 0.1234714205 -0.09270317605
19 20 0.1112192298 -0.08677846301
20 21 0.1003160237 -0.08314889436
21 22 0.09033964202 -0.07778278357
22 23 0.08191738476 -0.0741363611
23 24 0.07430365262 -0.06980372323
24 25 0.06728478116 -0.06561748721
