# python chi2 = 54.215
#  xi0 x12
9.604704593963688808e-01 1.603815786605781654e-02
7.587016200551137679e-01 -5.428048843508918864e-02
6.110283716088058537e-01 -9.928882254996232448e-02
5.056275967612026134e-01 -1.167379382364227419e-01
4.202866379253784035e-01 -1.316948406394752580e-01
3.544011630742165408e-01 -1.350155481519652312e-01
3.047967239551990226e-01 -1.314683067098399993e-01
2.632844582724240268e-01 -1.286689921016676008e-01
2.282989723513347557e-01 -1.234127195444719022e-01
1.998954097067872637e-01 -1.176481012585802455e-01
1.763245198150614479e-01 -1.109673323653379423e-01
1.555797611516560874e-01 -1.038212372785604493e-01
1.391540956238589422e-01 -9.726545311333605059e-02
1.241227767828057132e-01 -9.204733029160296065e-02
1.110661129350633131e-01 -8.906203526001026105e-02
1.000451067436578245e-01 -8.217651091844631328e-02
9.031554106747771704e-02 -7.796136227447653111e-02
8.223665971988257384e-02 -7.526530846940557296e-02
7.439711650742079907e-02 -6.973247104337586266e-02
6.739638408010896475e-02 -6.533360599071577623e-02
