# python chi2 = 34.238
#  xi0 x12
2.620813832818830402e+00 9.718397783290455560e-01
2.012729487413858376e+00 4.109604117031073200e-01
1.576344012743454925e+00 1.670797601574412483e-01
1.277075296892260736e+00 -2.767543981009848355e-04
1.046925336543071072e+00 -1.108384323516683340e-01
8.721518957089012813e-01 -1.547520806470713550e-01
7.316431009921089412e-01 -1.739244557007661451e-01
6.302852431448547899e-01 -1.796675837855502833e-01
5.431385270514703656e-01 -1.876476663853553495e-01
4.722847621003706808e-01 -1.814243760317476584e-01
4.157922776238692775e-01 -1.687394389397215144e-01
3.638314628187176991e-01 -1.719976703023443632e-01
3.206269286818961839e-01 -1.568722131487300664e-01
2.906661333252870127e-01 -1.526714472450561300e-01
2.609329738852952385e-01 -1.346950527471943715e-01
2.320993265924758409e-01 -1.454680341180841496e-01
2.102705780222798859e-01 -1.312569043841563254e-01
1.895399320302907920e-01 -1.263905848015200450e-01
1.756202752099418896e-01 -1.192516641609235734e-01
1.592058958360393073e-01 -1.100372065362093671e-01
