# Best-fit parameters: 3.743151452 98.77904597 1285.219054
# Maximum log likelihood: -14.65507778
# smin smax xi0 xi2
0 1 29.76099292 47.27250994
1 2 11.57353478 13.98454404
2 3 7.199003683 6.114846885
3 4 4.959496666 3.32248955
4 5 3.557856868 1.837615904
5 6 2.64242049 0.9069406669
6 7 2.007045183 0.4449218372
7 8 1.575891916 0.09643082346
8 9 1.275285585 -0.01013380745
9 10 1.044163125 -0.1031482964
10 11 0.8705414623 -0.1567609258
11 12 0.7375356532 -0.1896499967
12 13 0.6212749129 -0.2013405369
13 14 0.544163612 -0.1781106273
14 15 0.4693063243 -0.1890146575
15 16 0.4102628292 -0.1721076833
16 17 0.3658062182 -0.1677066899
17 18 0.32565253 -0.1563325196
18 19 0.2879851712 -0.1417018268
19 20 0.258685611 -0.1323548995
20 21 0.2344230943 -0.1391824645
21 22 0.2124427247 -0.1281417148
22 23 0.1916750536 -0.1238672682
23 24 0.1742893649 -0.1135158092
24 25 0.1567158888 -0.1061305431
