# bins UNIT SHAM
7.500000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.250000000000000000e+01 1.646520000000000000e+05 0.000000000000000000e+00
3.750000000000000000e+01 2.426325000000000000e+06 0.000000000000000000e+00
5.250000000000000000e+01 1.765504000000000000e+07 8.000000000000000444e-01
6.750000000000000000e+01 3.900070800000000000e+07 2.359000000000000057e+02
8.250000000000000000e+01 4.026320600000000000e+07 4.069000000000000000e+03
9.750000000000000000e+01 2.839429900000000000e+07 1.624993333333333248e+04
1.125000000000000000e+02 1.782203400000000000e+07 3.045129999999999927e+04
1.275000000000000000e+02 1.091804000000000000e+07 3.771516666666666424e+04
1.425000000000000000e+02 6.821834000000000000e+06 3.741806666666666570e+04
1.575000000000000000e+02 4.409773000000000000e+06 3.312836666666666861e+04
1.725000000000000000e+02 2.972349000000000000e+06 2.764020000000000073e+04
1.875000000000000000e+02 2.061473000000000000e+06 2.224196666666666715e+04
2.025000000000000000e+02 1.474115000000000000e+06 1.754003333333333285e+04
2.175000000000000000e+02 1.079286000000000000e+06 1.374700000000000000e+04
2.325000000000000000e+02 8.070050000000000000e+05 1.076113333333333321e+04
2.475000000000000000e+02 6.134800000000000000e+05 8.398899999999999636e+03
2.625000000000000000e+02 4.733810000000000000e+05 6.568266666666666424e+03
2.775000000000000000e+02 3.709470000000000000e+05 5.164466666666666242e+03
2.925000000000000000e+02 2.936670000000000000e+05 4.092599999999999909e+03
3.075000000000000000e+02 2.354900000000000000e+05 3.260833333333333485e+03
3.225000000000000000e+02 1.899620000000000000e+05 2.583966666666666697e+03
3.375000000000000000e+02 1.547880000000000000e+05 2.086133333333333212e+03
3.525000000000000000e+02 1.276620000000000000e+05 1.680000000000000000e+03
3.675000000000000000e+02 1.048710000000000000e+05 1.350833333333333258e+03
3.825000000000000000e+02 8.695900000000000000e+04 1.102500000000000000e+03
3.975000000000000000e+02 7.265200000000000000e+04 8.968999999999999773e+02
4.125000000000000000e+02 6.132500000000000000e+04 7.352333333333333485e+02
4.275000000000000000e+02 5.191000000000000000e+04 6.159666666666666970e+02
4.425000000000000000e+02 4.411300000000000000e+04 5.182999999999999545e+02
4.575000000000000000e+02 3.721700000000000000e+04 4.216000000000000227e+02
4.725000000000000000e+02 3.193400000000000000e+04 3.513999999999999773e+02
4.875000000000000000e+02 2.750100000000000000e+04 2.957333333333333485e+02
5.025000000000000000e+02 2.345200000000000000e+04 2.455666666666666629e+02
5.175000000000000000e+02 2.018200000000000000e+04 2.103666666666666742e+02
5.325000000000000000e+02 1.753100000000000000e+04 1.778333333333333428e+02
5.475000000000000000e+02 1.498900000000000000e+04 1.485333333333333314e+02
5.625000000000000000e+02 1.306400000000000000e+04 1.252000000000000028e+02
5.775000000000000000e+02 1.156900000000000000e+04 1.120666666666666629e+02
5.925000000000000000e+02 9.767000000000000000e+03 9.000000000000000000e+01
6.075000000000000000e+02 8.588000000000000000e+03 7.770000000000000284e+01
6.225000000000000000e+02 7.502000000000000000e+03 6.726666666666666572e+01
6.375000000000000000e+02 6.514000000000000000e+03 5.760000000000000142e+01
6.525000000000000000e+02 5.843000000000000000e+03 4.710000000000000142e+01
6.675000000000000000e+02 5.140000000000000000e+03 4.196666666666666856e+01
6.825000000000000000e+02 4.478000000000000000e+03 3.736666666666666714e+01
6.975000000000000000e+02 3.964000000000000000e+03 3.006666666666666643e+01
7.125000000000000000e+02 3.527000000000000000e+03 2.676666666666666572e+01
7.275000000000000000e+02 3.116000000000000000e+03 2.319999999999999929e+01
7.425000000000000000e+02 2.789000000000000000e+03 2.123333333333333428e+01
7.575000000000000000e+02 2.316000000000000000e+03 1.700000000000000000e+01
7.725000000000000000e+02 2.117000000000000000e+03 1.619999999999999929e+01
7.875000000000000000e+02 1.951000000000000000e+03 1.340000000000000036e+01
8.025000000000000000e+02 1.642000000000000000e+03 1.036666666666666714e+01
