# bins UNIT SHAM
7.500000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.250000000000000000e+01 1.702560000000000000e+05 0.000000000000000000e+00
3.750000000000000000e+01 2.711630000000000000e+06 0.000000000000000000e+00
5.250000000000000000e+01 1.892495800000000000e+07 0.000000000000000000e+00
6.750000000000000000e+01 3.968449900000000000e+07 0.000000000000000000e+00
8.250000000000000000e+01 3.876859100000000000e+07 0.000000000000000000e+00
9.750000000000000000e+01 2.692821300000000000e+07 0.000000000000000000e+00
1.125000000000000000e+02 1.687786700000000000e+07 0.000000000000000000e+00
1.275000000000000000e+02 1.035705500000000000e+07 0.000000000000000000e+00
1.425000000000000000e+02 6.486563000000000000e+06 3.333333333333333148e-01
1.575000000000000000e+02 4.206282000000000000e+06 3.566666666666666874e+00
1.725000000000000000e+02 2.844099000000000000e+06 1.930000000000000071e+01
1.875000000000000000e+02 1.979764000000000000e+06 6.576666666666666572e+01
2.025000000000000000e+02 1.421880000000000000e+06 1.670000000000000000e+02
2.175000000000000000e+02 1.043772000000000000e+06 3.458999999999999773e+02
2.325000000000000000e+02 7.834620000000000000e+05 5.893666666666666742e+02
2.475000000000000000e+02 5.979700000000000000e+05 8.990000000000000000e+02
2.625000000000000000e+02 4.635680000000000000e+05 1.268633333333333439e+03
2.775000000000000000e+02 3.645830000000000000e+05 1.615166666666666742e+03
2.925000000000000000e+02 2.895900000000000000e+05 1.966533333333333303e+03
3.075000000000000000e+02 2.338440000000000000e+05 2.290166666666666515e+03
3.225000000000000000e+02 1.893540000000000000e+05 2.528633333333333212e+03
3.375000000000000000e+02 1.544270000000000000e+05 2.702933333333333394e+03
3.525000000000000000e+02 1.278960000000000000e+05 2.850266666666666879e+03
3.675000000000000000e+02 1.056020000000000000e+05 2.909900000000000091e+03
3.825000000000000000e+02 8.781100000000000000e+04 2.918566666666666606e+03
3.975000000000000000e+02 7.368700000000000000e+04 2.878633333333333212e+03
4.125000000000000000e+02 6.213100000000000000e+04 2.802433333333333394e+03
4.275000000000000000e+02 5.291800000000000000e+04 2.718366666666666788e+03
4.425000000000000000e+02 4.514800000000000000e+04 2.607333333333333485e+03
4.575000000000000000e+02 3.826200000000000000e+04 2.449333333333333485e+03
4.725000000000000000e+02 3.306000000000000000e+04 2.310500000000000000e+03
4.875000000000000000e+02 2.850700000000000000e+04 2.164866666666666788e+03
5.025000000000000000e+02 2.453300000000000000e+04 2.006900000000000091e+03
5.175000000000000000e+02 2.106300000000000000e+04 1.835433333333333394e+03
5.325000000000000000e+02 1.835400000000000000e+04 1.702966666666666697e+03
5.475000000000000000e+02 1.581200000000000000e+04 1.542233333333333348e+03
5.625000000000000000e+02 1.387400000000000000e+04 1.413166666666666742e+03
5.775000000000000000e+02 1.222200000000000000e+04 1.304333333333333258e+03
5.925000000000000000e+02 1.046900000000000000e+04 1.163299999999999955e+03
6.075000000000000000e+02 9.254000000000000000e+03 1.069299999999999955e+03
6.225000000000000000e+02 8.132000000000000000e+03 9.581000000000000227e+02
6.375000000000000000e+02 7.222000000000000000e+03 8.807333333333333485e+02
6.525000000000000000e+02 6.273000000000000000e+03 7.808999999999999773e+02
6.675000000000000000e+02 5.542000000000000000e+03 7.040666666666667197e+02
6.825000000000000000e+02 4.832000000000000000e+03 6.260666666666667197e+02
6.975000000000000000e+02 4.444000000000000000e+03 5.898666666666666742e+02
7.125000000000000000e+02 3.937000000000000000e+03 5.267999999999999545e+02
7.275000000000000000e+02 3.445000000000000000e+03 4.636666666666666856e+02
7.425000000000000000e+02 3.120000000000000000e+03 4.287333333333333485e+02
7.575000000000000000e+02 2.642000000000000000e+03 3.660666666666666629e+02
7.725000000000000000e+02 2.410000000000000000e+03 3.417666666666666515e+02
7.875000000000000000e+02 2.141000000000000000e+03 3.014666666666666401e+02
8.025000000000000000e+02 1.872000000000000000e+03 2.645000000000000000e+02
8.175000000000000000e+02 1.758000000000000000e+03 2.530999999999999943e+02
8.325000000000000000e+02 1.471000000000000000e+03 2.105333333333333314e+02
8.475000000000000000e+02 1.345000000000000000e+03 1.960333333333333314e+02
8.625000000000000000e+02 1.228000000000000000e+03 1.793666666666666742e+02
8.775000000000000000e+02 1.076000000000000000e+03 1.569000000000000057e+02
8.925000000000000000e+02 8.790000000000000000e+02 1.277666666666666657e+02
9.075000000000000000e+02 8.170000000000000000e+02 1.165999999999999943e+02
9.225000000000000000e+02 8.200000000000000000e+02 1.180999999999999943e+02
9.375000000000000000e+02 6.560000000000000000e+02 9.420000000000000284e+01
9.525000000000000000e+02 5.870000000000000000e+02 8.626666666666666572e+01
9.675000000000000000e+02 5.650000000000000000e+02 8.093333333333333712e+01
9.825000000000000000e+02 5.020000000000000000e+02 7.286666666666666003e+01
9.975000000000000000e+02 4.230000000000000000e+02 6.273333333333333428e+01
1.012500000000000000e+03 3.700000000000000000e+02 5.256666666666666998e+01
1.027500000000000000e+03 3.470000000000000000e+02 4.873333333333333428e+01
1.042500000000000000e+03 3.080000000000000000e+02 4.373333333333333428e+01
1.057500000000000000e+03 2.860000000000000000e+02 4.056666666666666998e+01
1.072500000000000000e+03 2.360000000000000000e+02 3.413333333333333286e+01
1.087500000000000000e+03 1.980000000000000000e+02 2.806666666666666643e+01
1.102500000000000000e+03 1.890000000000000000e+02 2.533333333333333215e+01
1.117500000000000000e+03 1.750000000000000000e+02 2.339999999999999858e+01
1.132500000000000000e+03 1.450000000000000000e+02 2.143333333333333357e+01
1.147500000000000000e+03 1.500000000000000000e+02 2.010000000000000142e+01
1.162500000000000000e+03 1.350000000000000000e+02 1.676666666666666572e+01
1.177500000000000000e+03 1.150000000000000000e+02 1.616666666666666785e+01
1.192500000000000000e+03 1.020000000000000000e+02 1.353333333333333321e+01
1.207500000000000000e+03 1.070000000000000000e+02 1.393333333333333357e+01
1.222500000000000000e+03 9.100000000000000000e+01 1.213333333333333286e+01
1.237500000000000000e+03 8.400000000000000000e+01 1.146666666666666679e+01
1.252500000000000000e+03 6.300000000000000000e+01 8.566666666666666430e+00
1.267500000000000000e+03 4.900000000000000000e+01 6.833333333333333037e+00
1.282500000000000000e+03 5.700000000000000000e+01 7.000000000000000000e+00
1.297500000000000000e+03 5.100000000000000000e+01 6.066666666666666430e+00
1.312500000000000000e+03 5.000000000000000000e+01 7.133333333333333748e+00
1.327500000000000000e+03 4.900000000000000000e+01 5.933333333333333570e+00
1.342500000000000000e+03 2.900000000000000000e+01 3.666666666666666519e+00
1.357500000000000000e+03 2.900000000000000000e+01 2.966666666666666785e+00
1.372500000000000000e+03 3.100000000000000000e+01 4.233333333333333393e+00
1.387500000000000000e+03 2.400000000000000000e+01 3.433333333333333126e+00
1.402500000000000000e+03 2.700000000000000000e+01 2.966666666666666785e+00
1.417500000000000000e+03 1.900000000000000000e+01 2.533333333333333215e+00
1.432500000000000000e+03 1.300000000000000000e+01 1.566666666666666652e+00
1.447500000000000000e+03 1.500000000000000000e+01 1.633333333333333304e+00
1.462500000000000000e+03 1.600000000000000000e+01 2.066666666666666874e+00
1.477500000000000000e+03 1.100000000000000000e+01 1.366666666666666696e+00
1.492500000000000000e+03 7.000000000000000000e+00 6.333333333333333037e-01
inf 1.763346360000000000e+08 6.260000000000000000e+04
