M_min	M_max	MD	UNIT
1995262314.9688828	2606153549.9988976	180437	0
2606153549.9988976	3404081897.0100093	6594	147931
3404081897.0100093	4446312674.691102	242385	5933
4446312674.691102	5807644175.213136	311868	200151
5807644175.213136	7585775750.291851	844160	560971
7585775750.291851	9908319448.927687	617339	414905
9908319448.927687	12941958414.499863	2789406	1094827
12941958414.499863	16904409316.432632	6203968	2968100
16904409316.432632	22080047330.18906	15738013	6370246
22080047330.18906	28840315031.266117	25641405	17655242
28840315031.266117	37670379898.39093	20222434	18127255
37670379898.39093	49203953568.14511	16820257	13830254
49203953568.14511	64268771731.70194	14107732	12591177
64268771731.70194	83945998651.93965	11495329	10097207
83945998651.93965	109647819614.31874	8722149	8090145
109647819614.31874	143218789927.35452	7109222	6598593
143218789927.35452	187068214036.58017	5507160	5016960
187068214036.58017	244343055269.39713	4311266	3977791
244343055269.39713	319153785510.07715	3338399	3155723
319153785510.07715	416869383470.33636	2605173	2431732
416869383470.33636	544502652842.422	1997092	1940557
544502652842.422	711213513653.3296	1558248	1513782
711213513653.3296	928966386779.9363	1199314	1181343
928966386779.9363	1213388850464.976	935058	911024
1213388850464.976	1584893192461.1108	715842	709238
1584893192461.1108	2070141348791.0457	554151	549221
2070141348791.0457	2703958364108.846	423084	420789
2703958364108.846	3531831697919.57	324376	322398
3531831697919.57	4613175745603.791	245407	246259
4613175745603.791	6025595860743.593	184814	185075
6025595860743.593	7870457896951.001	138165	138459
7870457896951.001	10280162981264.746	102578	103540
10280162981264.746	13427649611378.643	74888	75496
13427649611378.643	17538805018417.604	54311	54834
17538805018417.604	22908676527677.7	38677	38975
22908676527677.7	29922646366081.83	26937	27012
29922646366081.83	39084089579240.09	18443	18944
39084089579240.09	51050499997540.65	12300	12506
51050499997540.65	66680676921362.19	7761	8107
66680676921362.19	87096358995607.97	4833	5070
87096358995607.97	113762728582343.33	2867	3002
113762728582343.33	148593564228700.9	1555	1686
148593564228700.9	194088587759277.94	862	939
194088587759277.94	253512863049790.72	429	437
253512863049790.72	331131121482590.75	182	224
331131121482590.75	432513831035007.94	73	87
432513831035007.94	564936974812301.1	24	39
564936974812301.1	737904230129098.5	9	9
737904230129098.5	963829023623970.5	2	4
963829023623970.5	1258925411794166.2	1	0
