M_min	M_max	MD	UNIT
1995262314.9688828	2606153549.9988976	12103	0
2606153549.9988976	3404081897.0100093	732	9615
3404081897.0100093	4446312674.691102	32135	628
4446312674.691102	5807644175.213136	54681	24791
5807644175.213136	7585775750.291851	179305	98033
7585775750.291851	9908319448.927687	149068	84612
9908319448.927687	12941958414.499863	747396	255408
12941958414.499863	16904409316.432632	1529580	784014
16904409316.432632	22080047330.18906	2576748	1373389
22080047330.18906	28840315031.266117	3381718	2564249
28840315031.266117	37670379898.39093	2751886	2353936
37670379898.39093	49203953568.14511	2457765	1898854
49203953568.14511	64268771731.70194	2207726	1849239
64268771731.70194	83945998651.93965	1867322	1580205
83945998651.93965	109647819614.31874	1436943	1305823
109647819614.31874	143218789927.35452	1160948	1068072
143218789927.35452	187068214036.58017	883226	800829
187068214036.58017	244343055269.39713	679848	622495
244343055269.39713	319153785510.07715	511300	482411
319153785510.07715	416869383470.33636	381806	360555
416869383470.33636	544502652842.422	279290	275838
544502652842.422	711213513653.3296	204699	203344
711213513653.3296	928966386779.9363	148805	148669
928966386779.9363	1213388850464.976	107871	107578
1213388850464.976	1584893192461.1108	76829	77566
1584893192461.1108	2070141348791.0457	54749	55230
2070141348791.0457	2703958364108.846	38713	38787
2703958364108.846	3531831697919.57	26906	27541
3531831697919.57	4613175745603.791	18367	18799
4613175745603.791	6025595860743.593	12544	12947
6025595860743.593	7870457896951.001	8514	8742
7870457896951.001	10280162981264.746	5502	5721
10280162981264.746	13427649611378.643	3619	3722
13427649611378.643	17538805018417.604	2228	2346
17538805018417.604	22908676527677.7	1421	1419
22908676527677.7	29922646366081.83	798	885
29922646366081.83	39084089579240.09	498	506
39084089579240.09	51050499997540.65	299	308
51050499997540.65	66680676921362.19	165	173
66680676921362.19	87096358995607.97	84	86
87096358995607.97	113762728582343.33	41	44
113762728582343.33	148593564228700.9	24	17
148593564228700.9	194088587759277.94	11	11
194088587759277.94	253512863049790.72	2	3
253512863049790.72	331131121482590.75	0	3
331131121482590.75	432513831035007.94	1	0
432513831035007.94	564936974812301.1	1	0
564936974812301.1	737904230129098.5	0	0
737904230129098.5	963829023623970.5	0	0
963829023623970.5	1258925411794166.2	0	0
