V_min	V_max	MD	UNIT
20.0	49.6	10002943	4920801
49.6	79.2	86103879	61724273
79.2	108.80000000000001	35683718	32362611
108.80000000000001	138.4	12266982	11607052
138.4	168.0	5126680	4986294
168.0	197.60000000000002	2504309	2470414
197.60000000000002	227.20000000000002	1361735	1349012
227.20000000000002	256.8	798048	794238
256.8	286.40000000000003	496020	493948
286.40000000000003	316.0	321235	321225
316.0	345.6	215589	215533
345.6	375.20000000000005	148544	149144
375.20000000000005	404.8	105171	105162
404.8	434.40000000000003	75125	75652
434.40000000000003	464.0	55384	55178
464.0	493.6	40484	40681
493.6	523.2	30579	30517
523.2	552.8000000000001	22589	23122
552.8000000000001	582.4	17503	17578
582.4	612.0	13247	13335
612.0	641.6	10276	10382
641.6	671.2	8091	8328
671.2	700.8000000000001	6238	6233
700.8000000000001	730.4000000000001	4888	4941
730.4000000000001	760.0	3753	3850
760.0	789.6	2932	3068
789.6	819.2	2367	2473
819.2	848.8000000000001	1781	1910
848.8000000000001	878.4000000000001	1487	1502
878.4000000000001	908.0	1100	1169
908.0	937.6	882	935
937.6	967.2	725	748
967.2	996.8000000000001	556	593
996.8000000000001	1026.4	458	458
1026.4	1056.0	365	354
1056.0	1085.6000000000001	256	312
1085.6000000000001	1115.2	206	248
1115.2	1144.8	204	181
1144.8	1174.4	142	149
1174.4	1204.0	97	151
1204.0	1233.6000000000001	89	90
1233.6000000000001	1263.2	67	67
1263.2	1292.8	53	59
1292.8	1322.4	43	46
1322.4	1352.0	32	36
1352.0	1381.6000000000001	40	31
1381.6000000000001	1411.2	18	17
1411.2	1440.8000000000002	14	20
1440.8000000000002	1470.4	15	12
1470.4	1500.0	6	22
