V_min	V_max	MD	UNIT
20.0	49.6	1762503	858684
49.6	79.2	11707701	8127357
79.2	108.80000000000001	6472308	5655994
108.80000000000001	138.4	2282665	2118981
138.4	168.0	914242	886462
168.0	197.60000000000002	409205	408020
197.60000000000002	227.20000000000002	198772	200797
227.20000000000002	256.8	103654	105248
256.8	286.40000000000003	57003	57436
286.40000000000003	316.0	32828	33404
316.0	345.6	19665	20095
345.6	375.20000000000005	11686	12141
375.20000000000005	404.8	7541	7787
404.8	434.40000000000003	4817	5042
434.40000000000003	464.0	3100	3216
464.0	493.6	2048	2166
493.6	523.2	1394	1396
523.2	552.8000000000001	934	972
552.8000000000001	582.4	637	658
582.4	612.0	405	434
612.0	641.6	294	311
641.6	671.2	230	257
671.2	700.8000000000001	160	161
700.8000000000001	730.4000000000001	114	108
730.4000000000001	760.0	93	80
760.0	789.6	62	70
789.6	819.2	33	50
819.2	848.8000000000001	31	32
848.8000000000001	878.4000000000001	22	26
878.4000000000001	908.0	17	15
908.0	937.6	15	11
937.6	967.2	9	7
967.2	996.8000000000001	6	2
996.8000000000001	1026.4	9	4
1026.4	1056.0	4	5
1056.0	1085.6000000000001	1	5
1085.6000000000001	1115.2	4	2
1115.2	1144.8	3	2
1144.8	1174.4	0	2
1174.4	1204.0	0	0
1204.0	1233.6000000000001	0	0
1233.6000000000001	1263.2	0	2
1263.2	1292.8	0	0
1292.8	1322.4	0	0
1322.4	1352.0	0	0
1352.0	1381.6000000000001	1	0
1381.6000000000001	1411.2	0	1
1411.2	1440.8000000000002	0	0
1440.8000000000002	1470.4	0	0
1470.4	1500.0	1	0
