bin_min	bin_max	MD	UNIT
100000000.0	136937991.12160915	0	0
136937991.12160915	187520134.12421906	0	0
187520134.12421906	256786304.61825264	0	0
256786304.61825264	351638007.019651	1639	0
351638007.019651	481526022.83277106	3217	1712
481526022.83277106	659392062.3949777	91813	3394
659392062.3949777	902958243.8590299	5473	83861
902958243.8590299	1236492879.8075163	2429	8090
1236492879.8075163	1693228509.9701457	2606924	2122960
1693228509.9701457	2318673106.651473	61608	58637
2318673106.651473	3175144372.9255333	2178746	1696125
3175144372.9255333	4347978919.495021	2034555	52706
4347978919.495021	5954034986.747529	2187216	1642096
5954034986.747529	8153335901.529834	4788642	3417423
8153335901.529834	11165014392.951895	5884816	4129310
11165014392.951895	15289146418.146849	15770039	8200659
15289146418.146849	20936649964.651752	17725528	10591901
20936649964.651752	28670227869.757202	20264176	19380303
28670227869.757202	39260434094.83307	18701819	14320897
39260434094.83307	53762449755.08794	14166717	11117487
53762449755.08794	73621218672.38159	10559465	9365214
73621218672.38159	100815417889.20636	7757843	7289851
100815417889.20636	138054607998.33456	6118573	5600458
138054607998.33456	189049206843.7317	4521941	4184939
189049206843.7317	258880186083.14178	3330172	3108817
258880186083.14178	354505326234.13794	2471508	2357719
354505326234.13794	485452472164.1353	1814835	1741248
485452472164.1353	664768863231.753	1338412	1292109
664768863231.753	910321126911.5237	980204	954483
910321126911.5237	1246575463948.2295	723171	705647
1246575463948.2295	1707035398145.5845	526640	513737
1707035398145.5845	2337579981955.3257	381511	375458
2337579981955.3257	3201035068150.4966	273201	270379
3201035068150.4966	4383433117423.5225	194933	192304
4383433117423.5225	6002585253159.073	136847	135962
6002585253159.073	8219819661038.025	94893	94188
8219819661038.025	11256055917644.488	64611	64018
11256055917644.488	15413816853147.37	42692	43134
15413816853147.37	21107371153864.04	27845	27832
21107371153864.04	28904010036683.426	17586	17801
28904010036683.426	39580570697822.57	10580	10728
39580570697822.57	54200838388066.5	6056	6375
54200838388066.5	74221539259688.22	3259	3362
74221539259688.22	101637484841753.08	1698	1729
101637484841753.08	139180329968827.25	782	870
139180329968827.25	190590747895738.2	336	374
190590747895738.2	260991141432074.4	133	134
260991141432074.4	357396026082440.44	33	50
357396026082440.44	489410938465756.2	11	16
489410938465756.2	670189507464421.2	3	5
