bin_min	bin_max	MD	UNIT
100000000.0	136590247.82327208	0	0
136590247.82327208	186568958.00422886	0	0
186568958.00422886	254835002.09927264	0	0
254835002.09927264	348079760.90783715	142	0
348079760.90783715	475443008.04666775	283	279
475443008.04666775	649408782.949363	5849	580
649408782.949363	887029066.0166336	435	12893
887029066.0166336	1211595199.5365758	216	1553
1211595199.5365758	1654920885.661877	163351	247959
1654920885.661877	2260460539.004647	6653	13351
2260460539.004647	3087568652.1737194	145487	220598
3087568652.1737194	4217317673.7177453	147626	13986
4217317673.7177453	5760444662.025722	154654	227115
5760444662.025722	7868205639.583383	312279	466362
7868205639.583383	10747201582.351612	369235	571158
10747201582.351612	14679629275.400688	675832	748997
14679629275.400688	20050942006.8074	1453327	2040854
20050942006.8074	27387631377.99891	1517634	2533810
27387631377.99891	37408833572.13294	2014532	2126219
37408833572.13294	51096818483.971794	2006933	2033571
51096818483.971794	69793270997.06458	1884449	1740392
69793270997.06458	95330801818.85838	1819875	1293135
95330801818.85838	130212578456.29105	1719429	975320
130212578456.29105	177857683610.52057	1627092	751005
177857683610.52057	242936250816.34122	1500377	545255
242936250816.34122	331827227042.6063	1338533	398652
331827227042.6063	453243631762.58777	1114473	284957
453243631762.58777	619086599867.7174	909088	196296
619086599867.7174	845611920999.9841	717180	135488
845611920999.9841	1155023418517.0103	552368	91991
1155023418517.0103	1577649349769.2134	414555	60309
1577649349769.2134	2154915156632.0093	308224	40066
2154915156632.0093	2943403952824.9136	224306	26034
2943403952824.9136	4020402753603.536	159316	16166
4020402753603.536	5491478084640.726	111480	10249
5491478084640.726	7500823524971.474	77092	6128
7500823524971.474	10245393441544.828	50987	3500
10245393441544.828	13994208292275.348	33320	1933
13994208292275.348	19114723787323.79	21012	1069
19114723787323.79	26108848591839.508	13012	574
26108848591839.508	35662140995396.47	7420	275
35662140995396.47	48711006764696.95	4118	146
48711006764696.95	66534484857110.4	2156	62
66534484857110.4	90879617754264.53	1112	14
90879617754264.53	124132695111392.31	513	13
124132695111392.31	169553155882357.53	230	4
169553155882357.53	231593075811891.0	83	2
231593075811891.0	316333556193000.3	26	0
316333556193000.3	432080788352188.8	4	0
432080788352188.8	590180219607002.5	2	0
