bin_min	bin_max	MD	UNIT
2493999501.3209906	3228635602.929506	199454	157408
3228635602.929506	4179667177.5526147	263267	6699
4179667177.5526147	5410835988.818197	361910	224330
5410835988.818197	7004659666.474522	485041	298420
7004659666.474522	9067962352.680975	1279526	834336
9067962352.680975	11739034463.472446	2075741	625960
11739034463.472446	15196901439.919556	6019823	2881289
15196901439.919556	19673322716.041634	11355739	6231865
19673322716.041634	25468325120.06936	25832601	10643713
25468325120.06936	32970311816.85736	24397162	20536036
32970311816.85736	42682094569.46964	21564495	20196232
42682094569.46964	55254594101.403404	17403847	14789968
55254594101.403404	71530467286.26796	14381429	13009119
71530467286.26796	92600585225.58026	11693258	10364791
92600585225.58026	119877147590.87106	9264590	8308720
119877147590.87106	155188333632.19162	7199415	6807680
155188333632.19162	200900833724.62833	5781002	5219835
200900833724.62833	260078473984.45535	4441358	4171845
260078473984.45535	336687565581.72	3485370	3341725
336687565581.72	435862742043.4662	2748832	2623228
435862742043.4662	564251101977.622	2124749	2047995
564251101977.622	730457722975.578	1644391	1616198
730457722975.578	945622406734.4885	1283282	1253928
945622406734.4885	1224166311057.2922	988485	976083
1224166311057.2922	1584758510854.9539	765213	753837
1584758510854.9539	2051567270755.9683	589928	585719
2051567270755.9683	2655879894386.193	453972	451030
2655879894386.193	3438199718796.2905	347249	346131
3438199718796.2905	4450960802601.702	263221	264707
4450960802601.702	5762042256589.018	199522	200330
5762042256589.018	7459317760630.621	149946	150097
7459317760630.621	9656545192884.047	111616	112777
9656545192884.047	12500991116690.086	82489	83189
12500991116690.086	16183301147363.078	60142	60508
16183301147363.078	20950277748504.457	43198	43885
20950277748504.457	27121421874485.496	30402	30816
27121421874485.496	35110347143074.62	21325	21517
35110347143074.62	45452501797735.99	14508	14954
45452501797735.99	58841056491254.05	9456	9623
58841056491254.05	76173363226826.66	6073	6350
76173363226826.66	98611099312068.6	3633	3872
98611099312068.6	127658127403123.19	2146	2312
127658127403123.19	165261290116026.78	1211	1297
165261290116026.78	213940894844627.0	646	678
213940894844627.0	276959634375267.25	310	346
276959634375267.25	358541265002136.9	142	155
358541265002136.9	464153698784676.9	53	69
464153698784676.9	600875483869932.1	19	29
600875483869932.1	777870235788899.6	7	8
777870235788899.6	1007000817921965.2	2	3
