bin_min	bin_max	MD	UNIT
2493999501.3209906	3174682000.2651024	12767	9596
3174682000.2651024	4041141867.698419	30315	611
4041141867.698419	5144082964.372922	53563	23427
5144082964.372922	6548047658.47591	77703	40843
6548047658.47591	8335193742.914067	111874	62209
8335193742.914067	10610102179.385262	328116	183063
10610102179.385262	13505897010.816069	580019	153881
13505897010.816069	17192035569.75914	1511705	784283
17192035569.75914	21884224853.42234	2574918	1371944
21884224853.42234	27857044355.909023	2898122	2087108
27857044355.909023	35460014025.84428	2548033	2154342
35460014025.84428	45138047620.847145	2424990	1847499
45138047620.847145	57457488356.79866	2117529	1920201
57457488356.79866	73139250416.91234	1739782	1473475
73139250416.91234	93101005709.29062	1526011	1298389
93101005709.29062	118510884575.28229	1260232	1108473
118510884575.28229	150855832929.1418	938527	901827
150855832929.1418	192028625980.67	770522	693205
192028625980.67	244438630446.2257	604443	559846
244438630446.2257	311152796877.4878	471357	436654
311152796877.4878	396075132755.998	356455	347516
396075132755.998	504175158835.0608	273642	263118
504175158835.0608	641778717632.7352	204398	204543
641778717632.7352	816938151728.8584	154605	152786
816938151728.8584	1039903514114.4757	114960	115423
1039903514114.4757	1323722385077.8752	86056	86873
1323722385077.8752	1685003395962.5286	63547	63451
1685003395962.5286	2144888139999.4001	46229	46692
2144888139999.4001	2730288344898.027	33900	34013
2730288344898.027	3475460704579.2427	24417	24990
3475460704579.2427	4424011526711.339	17276	17788
4424011526711.339	5631448504852.039	12275	12583
5631448504852.039	7168428940865.532	8690	8871
7168428940865.532	9124894498451.72	5856	6188
9124894498451.72	11615334447023.293	4049	4118
11615334447023.293	14785485392636.436	2709	2759
14785485392636.436	18820859553629.95	1717	1872
18820859553629.95	23957600642172.84	1152	1167
23957600642172.84	30496302620734.465	680	717
30496302620734.465	38819599985245.734	440	443
38819599985245.734	49414558930494.94	278	295
49414558930494.94	62901179693335.78	174	161
62901179693335.78	80068677985742.95	83	102
80068677985742.95	101921668649782.11	46	54
101921668649782.11	129738954128925.58	25	22
129738954128925.58	165148357964049.5	21	10
165148357964049.5	210221982451922.1	6	8
210221982451922.1	267597464793665.6	1	1
267597464793665.6	340632327451169.3	0	3
340632327451169.3	433600455050152.8	2	0
