bin_min	bin_max	MD	UNIT
24.8799991607666	54.381998786926275	3197793	1659189
54.381998786926275	83.88399841308595	11790862	8600922
83.88399841308595	113.3859980392456	5469755	4853331
113.3859980392456	142.8879976654053	1961327	1832852
142.8879976654053	172.38999729156495	801575	782922
172.38999729156495	201.8919969177246	365220	364477
201.8919969177246	231.3939965438843	179710	181851
231.3939965438843	260.895996170044	94786	96007
260.895996170044	290.39799579620365	52450	53032
290.39799579620365	319.8999954223633	30524	31101
319.8999954223633	349.40199504852296	18374	18672
349.40199504852296	378.9039946746826	10993	11457
378.9039946746826	408.4059943008423	7134	7306
408.4059943008423	437.907993927002	4500	4796
437.907993927002	467.40999355316166	2984	3047
467.40999355316166	496.9119931793213	1919	2040
496.9119931793213	526.413992805481	1347	1334
526.413992805481	555.9159924316407	897	940
555.9159924316407	585.4179920578003	608	637
585.4179920578003	614.91999168396	385	405
614.91999168396	644.4219913101197	287	318
644.4219913101197	673.9239909362793	217	237
673.9239909362793	703.425990562439	160	162
703.425990562439	732.9279901885986	108	103
732.9279901885986	762.4299898147583	90	74
762.4299898147583	791.931989440918	62	69
791.931989440918	821.4339890670777	30	47
821.4339890670777	850.9359886932374	28	33
850.9359886932374	880.437988319397	24	24
880.437988319397	909.9399879455567	15	16
909.9399879455567	939.4419875717164	16	10
939.4419875717164	968.943987197876	8	7
968.943987197876	998.4459868240357	6	2
998.4459868240357	1027.9479864501955	10	4
1027.9479864501955	1057.4499860763551	3	6
1057.4499860763551	1086.9519857025148	1	4
1086.9519857025148	1116.4539853286744	4	2
1116.4539853286744	1145.955984954834	3	2
1145.955984954834	1175.4579845809938	0	2
1175.4579845809938	1204.9599842071534	0	0
1204.9599842071534	1234.461983833313	0	0
1234.461983833313	1263.9639834594727	0	2
1263.9639834594727	1293.4659830856324	0	0
1293.4659830856324	1322.967982711792	0	0
1322.967982711792	1352.4699823379517	0	0
1352.4699823379517	1381.9719819641114	1	0
1381.9719819641114	1411.473981590271	0	1
1411.473981590271	1440.9759812164307	0	0
1440.9759812164307	1470.4779808425903	0	0
1470.4779808425903	1499.97998046875	1	0
