bin_min	bin_max	MD	UNIT
24.8799991607666	64.55860034942627	30257592	17779932
64.55860034942627	104.23720153808594	96493777	75583370
104.23720153808594	143.9158027267456	34314049	29727040
143.9158027267456	183.59440391540528	10346175	9506428
183.59440391540528	223.27300510406496	3942974	3744794
223.27300510406496	262.9516062927246	1794494	1728240
262.9516062927246	302.6302074813843	917795	892923
302.6302074813843	342.30880867004396	509367	499623
342.30880867004396	381.98740985870364	300693	296065
381.98740985870364	421.6660110473633	184695	183519
421.6660110473633	461.34461223602295	118408	117474
461.34461223602295	501.02321342468264	77872	77431
501.02321342468264	540.7018146133423	52008	51819
540.7018146133423	580.380415802002	35440	35604
580.380415802002	620.0590169906617	24463	24514
620.0590169906617	659.7376181793213	17104	17431
659.7376181793213	699.416219367981	12261	12563
699.416219367981	739.0948205566407	8823	8809
739.0948205566407	778.7734217453003	6290	6466
778.7734217453003	818.45202293396	4635	4754
818.45202293396	858.1306241226197	3241	3354
858.1306241226197	897.8092253112793	2402	2556
897.8092253112793	937.487826499939	1760	1763
937.487826499939	977.1664276885987	1310	1315
977.1664276885987	1016.8450288772583	953	1012
1016.8450288772583	1056.523630065918	715	735
1056.523630065918	1096.2022312545778	463	544
1096.2022312545778	1135.8808324432373	366	415
1135.8808324432373	1175.559433631897	307	297
1175.559433631897	1215.2380348205568	192	240
1215.2380348205568	1254.9166360092163	172	164
1254.9166360092163	1294.595237197876	103	117
1294.595237197876	1334.2738383865358	88	77
1334.2738383865358	1373.9524395751953	60	67
1373.9524395751953	1413.631040763855	47	42
1413.631040763855	1453.3096419525148	30	38
1453.3096419525148	1492.9882431411743	19	24
1492.9882431411743	1532.666844329834	16	24
1532.666844329834	1572.3454455184938	9	12
1572.3454455184938	1612.0240467071535	7	13
1612.0240467071535	1651.702647895813	6	13
1651.702647895813	1691.3812490844728	5	8
1691.3812490844728	1731.0598502731325	4	1
1731.0598502731325	1770.738451461792	1	5
1770.738451461792	1810.4170526504518	1	1
1810.4170526504518	1850.0956538391115	1	1
1850.0956538391115	1889.774255027771	0	0
1889.774255027771	1929.4528562164307	2	2
1929.4528562164307	1969.1314574050905	0	2
1969.1314574050905	2008.81005859375	1	1
