Nested Sampling Global Log-Evidence           :   -0.309094885512203028E+02  +/-    0.186476855123943575E+00
Nested Importance Sampling Global Log-Evidence:   -0.311344519917685894E+02  +/-    0.994857652004761533E-01

Dim No.       Mean        Sigma
   1    0.680413259252855784E+00    0.471923809993679111E+00
   2    0.103194909268562327E+03    0.153890306350637953E+02
   3    0.483649918755203778E+01    0.276408298889489812E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.289786298203565940E+00
   2    0.109497720073835268E+03
   3    0.510689261537862382E+01

MAP Parameters
Dim No.        Parameter
   1    0.289786298203565940E+00
   2    0.109497720073835268E+03
   3    0.510689261537862382E+01
