# Best-fit parameters: 0 0 1e+99
# xi0 xi2
 53.46283485 93.40165709
 21.27945945 25.27789237
 15.32666637 10.44626326
 11.19395837 6.817227481
 8.265892502 4.027938331
 5.956975437 2.19402776
 4.522170152 1.302100463
 3.456200868 0.7926165839
 2.697896167 0.113250444
 2.152124744 0.04988890193
 1.822215608 -0.1176400283
 1.514769433 -0.1657130018
 1.264056542 -0.2370832955
 1.08064873 -0.2085907137
 0.9278264433 -0.2426866054
 0.8512703142 -0.2079876815
 0.7454402095 -0.2114357836
 0.6510156754 -0.2724043145
 0.5647110321 -0.2452881587
 0.5123848932 -0.18113645
 0.4645050851 -0.2048144532
 0.4075378801 -0.1504493698
 0.3661569458 -0.1694733334
 0.3360574678 -0.1393342751
 0.2963427494 -0.1571258197
