# Best-fit parameters: 0 0 1e+99
# Maximum log likelihood: -8042.103864
# smin smax xi0 xi2
0 1 53.82835723 91.13470441
1 2 21.59276434 26.51826157
2 3 16.03847312 8.953926453
3 4 11.81304132 6.218212928
4 5 8.573490572 3.5930571
5 6 6.247518869 1.712882322
6 7 4.672792236 0.8745630208
7 8 3.516039838 0.3934951428
8 9 2.748990693 -0.1913097952
9 10 2.206525984 -0.1688999386
10 11 1.849823039 -0.3293482332
11 12 1.535638888 -0.3596274269
12 13 1.281981947 -0.393061208
13 14 1.078198549 -0.2845034716
14 15 0.9314951835 -0.3186214072
15 16 0.858874802 -0.302103142
16 17 0.761099063 -0.2663994276
17 18 0.6610917367 -0.3113644634
18 19 0.5798966423 -0.2880874068
19 20 0.5105695615 -0.231580884
20 21 0.473104475 -0.2629422501
21 22 0.4145654674 -0.1866095089
22 23 0.3673601136 -0.190625786
23 24 0.3245131077 -0.1733714195
24 25 0.3043256553 -0.2120186751
