# Best-fit parameters: 0.5818811657 95.42850871 859.3736217
# Maximum log likelihood: -17.46864683
# smin smax xi0 xi2
0 1 27.8397159 44.72391356
1 2 11.40368291 12.68777903
2 3 7.281647011 5.734946049
3 4 4.993688925 3.147032347
4 5 3.533409646 1.605836977
5 6 2.620032802 0.8474957955
6 7 1.995476703 0.3674263477
7 8 1.572006288 0.07858742486
8 9 1.275475084 -0.04218354973
9 10 1.041627585 -0.1310247797
10 11 0.8802623453 -0.1981024297
11 12 0.7444051825 -0.2091092944
12 13 0.631168524 -0.1980504665
13 14 0.5469103201 -0.1902928211
14 15 0.4720916705 -0.1781610326
15 16 0.4172343138 -0.1773369432
16 17 0.3674006872 -0.1729265435
17 18 0.3293595151 -0.1584959607
18 19 0.2924338333 -0.151436758
19 20 0.2628693277 -0.1451487717
20 21 0.2356485879 -0.1386213562
21 22 0.2100143639 -0.1325177034
22 23 0.1930157502 -0.122427474
23 24 0.1738971998 -0.1138298843
24 25 0.156384818 -0.1083022115
