# Best-fit parameters: 0 0 500
# Maximum log likelihood: -500.2474095
# smin smax xi0 xi2
0 1 66.98716296 -3.23854201
1 2 14.59562161 0.6954243501
2 3 7.208221901 0.2325963302
3 4 4.156829274 0.1381870917
4 5 2.980798396 -0.0003246059383
5 6 2.003174732 0.04180675467
6 7 1.508769102 -0.1237382543
7 8 1.211879027 0.07111757468
8 9 0.9427149617 -0.1494159829
9 10 0.7430876669 0.03133330679
10 11 0.6814765748 -0.03508590239
11 12 0.5403499856 0.06644087298
12 13 0.4576731221 -0.01601927115
13 14 0.4090765299 0.005457176358
14 15 0.3796394168 -0.006615416046
15 16 0.3233498704 0.05975797349
16 17 0.2747798112 0.0508926558
17 18 0.2564583278 0.009033225031
18 19 0.224458455 -0.003224305597
19 20 0.2080498692 0.02093986476
20 21 0.1824644211 -0.0257669705
21 22 0.1640319821 -0.01642866008
22 23 0.1556827898 0.01847083692
23 24 0.1477446898 0.01834189709
24 25 0.1194334346 0.02563256104
