# Best-fit parameters: 0 120 1e+99
# Maximum log likelihood: -8110.770568
# smin smax xi0 xi2
0 1 50.23303847 78.42537315
1 2 20.36376786 24.64842102
2 3 14.61656968 10.53043026
3 4 10.89366472 6.861631713
4 5 8.13166789 4.455709773
5 6 6.137505112 2.709906385
6 7 4.629516369 1.636624798
7 8 3.56189235 0.8718518135
8 9 2.79491494 0.3711214946
9 10 2.240092149 0.09875507915
10 11 1.867132898 -0.1494156046
11 12 1.555073569 -0.2128508359
12 13 1.29227823 -0.230069159
13 14 1.094037481 -0.2230496836
14 15 0.9506482602 -0.2393441952
15 16 0.8486031105 -0.266471843
16 17 0.753191342 -0.2725929086
17 18 0.667068874 -0.2638186853
18 19 0.5818828331 -0.2389549602
19 20 0.5174179894 -0.2322030124
20 21 0.4714224407 -0.2358451422
21 22 0.4134952244 -0.1891115684
22 23 0.3701300733 -0.1812541455
23 24 0.3305475482 -0.1640883131
24 25 0.30993173 -0.177817516
