# Best-fit parameters: 1 0 1e+99
# Maximum log likelihood: -216.6371663
# smin smax xi0 xi2
0 1 269.9790022 -9.655683374
1 2 20.80021899 0.193580342
2 3 9.152597903 -0.1750454515
3 4 5.565599732 0.07412326075
4 5 3.756967529 0.05888704936
5 6 2.67596576 -0.08477484486
6 7 2.013113238 0.02696274058
7 8 1.587674966 -0.07196850197
8 9 1.28665786 -0.02695708768
9 10 1.055909784 -0.01337061035
10 11 0.882578302 -0.0574588719
11 12 0.7568859355 -0.03164283825
12 13 0.6495463935 0.004658061562
13 14 0.5621459879 0.006176969085
14 15 0.4837238298 0.003038381787
15 16 0.4242952216 0.0150061615
16 17 0.3784165664 0.01097209157
17 18 0.3395416402 0.01553149392
18 19 0.3014413915 0.003204484984
19 20 0.27320693 0.001464194272
20 21 0.2435973872 0.0004018796951
21 22 0.217656865 0.001498919154
22 23 0.2005302016 0.002925453933
23 24 0.1828851336 0.004342823829
24 25 0.1699895841 -0.001866823245
