# Best-fit parameters: 1.964818641 6.506716167 693.151168
# Maximum log likelihood: -26.71162401
# smin smax xi0 xi2
0 1 9.327209033 7.712276229
1 2 4.177661005 2.510517215
2 3 2.480271234 0.9925370056
3 4 1.700231635 0.4199119068
4 5 1.250840017 0.1545372346
5 6 0.9630995255 0.01497975612
6 7 0.7604598998 -0.05831856272
7 8 0.6147641325 -0.09711308797
8 9 0.5074088728 -0.1207245782
9 10 0.4241469788 -0.1304821389
10 11 0.3580243776 -0.1311611347
11 12 0.3062950158 -0.1338928974
12 13 0.2640922264 -0.1269262589
13 14 0.2295112902 -0.1220446595
14 15 0.1994381061 -0.1139111011
15 16 0.1753363763 -0.1105526624
16 17 0.1556385321 -0.1048067079
17 18 0.1390048158 -0.09896039738
18 19 0.1241007539 -0.09231868393
19 20 0.1114114636 -0.08884132747
20 21 0.1002274823 -0.08278246689
21 22 0.09057431098 -0.0786457999
22 23 0.08170624345 -0.07333714957
23 24 0.07416719785 -0.06960934259
24 25 0.06793803816 -0.06482041775
