# Best-fit parameters: 1.847993137 99.23621803 2324.904889
# Maximum log likelihood: -14.91512958
# smin smax xi0 xi2
# number of tracers: 62600
0 1 29.0114182 46.12904066
1 2 11.38627708 13.70141088
2 3 7.22297105 6.055218935
3 4 4.943086577 3.246626433
4 5 3.534108733 1.756502628
5 6 2.634426083 0.9085536079
6 7 2.016726889 0.4408244019
7 8 1.57994877 0.138300649
8 9 1.276467029 -0.01544510198
9 10 1.050094996 -0.1044653721
10 11 0.8764709249 -0.185683152
11 12 0.730747965 -0.182011934
12 13 0.6284927027 -0.194607693
13 14 0.5418800253 -0.1886075694
14 15 0.4748689712 -0.1885644995
15 16 0.4126181081 -0.1798390687
16 17 0.3677436907 -0.1677443452
17 18 0.3269598216 -0.1617201984
18 19 0.2886137032 -0.1463379651
19 20 0.2579358968 -0.1439083442
20 21 0.2354183046 -0.1462153148
21 22 0.2119542708 -0.1287448168
22 23 0.1917952033 -0.1206570183
23 24 0.1760761671 -0.1184393967
24 25 0.1576048045 -0.1111071148
