# Best-fit parameters: 1.667829422 99.36052744 2049.875202
# Maximum log likelihood: -15.09885454
# smin smax xi0 xi2
0 1 28.63168106 45.6083672
1 2 11.26153532 13.32687774
2 3 7.129666652 5.95984677
3 4 4.849620419 3.238678661
4 5 3.492762758 1.732903283
5 6 2.588077488 0.8674934597
6 7 1.983980177 0.4427958203
7 8 1.549031969 0.1232357099
8 9 1.264217444 -0.01555161349
9 10 1.031309333 -0.1140979132
10 11 0.8643052504 -0.1662447337
11 12 0.7229219191 -0.1794874867
12 13 0.6198720552 -0.1958457604
13 14 0.5389509458 -0.1892800798
14 15 0.472165689 -0.1780214674
15 16 0.4077850336 -0.172440191
16 17 0.3615994548 -0.167836341
17 18 0.3222709176 -0.1588308834
18 19 0.2889775251 -0.1495746208
19 20 0.2558269085 -0.1439669886
20 21 0.2315163717 -0.1431216159
21 22 0.2100904961 -0.12714273
22 23 0.1877980124 -0.1211012124
23 24 0.1751472261 -0.1119526397
24 25 0.1558469867 -0.1099546977
