# Best-fit parameters: 0.0817104666 102.1785238 4769.415661
# Maximum log likelihood: -17.25400073
# smin smax xi0 xi2
# NUM_TRACER 626000
0 1 27.06131568 41.47032084
1 2 11.43301753 12.387674
2 3 7.322088535 5.722604044
3 4 5.039813898 3.158337571
4 5 3.60554905 1.743849863
5 6 2.674879681 0.905698424
6 7 2.044575825 0.4165436442
7 8 1.615878106 0.1223860124
8 9 1.299344837 -0.03112169615
9 10 1.066582768 -0.119055356
10 11 0.8940902325 -0.1755731956
11 12 0.7535957225 -0.1892271721
12 13 0.6428095588 -0.1913338809
13 14 0.5547973397 -0.1908557303
14 15 0.4836158916 -0.1849915437
15 16 0.4233110882 -0.1747476205
16 17 0.3750715619 -0.1673945302
17 18 0.333915751 -0.1605836461
18 19 0.2980588759 -0.1529995905
19 20 0.2677195025 -0.1463039791
20 21 0.2403607637 -0.1391805458
21 22 0.2160391144 -0.1294459889
22 23 0.1965296018 -0.1237555551
23 24 0.1782317639 -0.1165634015
24 25 0.1614879471 -0.1086772601
