#M_min	M_max	MD	UNIT
1995262314.9688828	2606153549.9988976	192540.0	0.0
2606153549.9988976	3404081897.0100093	7326.0	157546.0
3404081897.0100093	4446312674.691102	274520.0	6561.0
4446312674.691102	5807644175.213136	366549.0	224942.0
5807644175.213136	7585775750.291851	1023465.0	659004.0
7585775750.291851	9908319448.927687	766407.0	499517.0
9908319448.927687	12941958414.499863	3536802.0	1350235.0
12941958414.499863	16904409316.432632	7733548.0	3752114.0
16904409316.432632	22080047330.18906	18314761.0	7743635.0
22080047330.18906	28840315031.266117	29023123.0	20219491.0
28840315031.266117	37670379898.39093	22974320.0	20481191.0
37670379898.39093	49203953568.14511	19278022.0	15729108.0
49203953568.14511	64268771731.70194	16315458.0	14440416.0
64268771731.70194	83945998651.93965	13362651.0	11677412.0
83945998651.93965	109647819614.31874	10159092.0	9395968.0
109647819614.31874	143218789927.35452	8270170.0	7666665.0
143218789927.35452	187068214036.58017	6390386.0	5817789.0
187068214036.58017	244343055269.39713	4991114.0	4600286.0
244343055269.39713	319153785510.07715	3849699.0	3638134.0
319153785510.07715	416869383470.33636	2986979.0	2792287.0
416869383470.33636	544502652842.422	2276382.0	2216395.0
544502652842.422	711213513653.3296	1762947.0	1717126.0
711213513653.3296	928966386779.9363	1348119.0	1330012.0
928966386779.9363	1213388850464.976	1042929.0	1018602.0
1213388850464.976	1584893192461.1108	792671.0	786804.0
1584893192461.1108	2070141348791.0457	608900.0	604451.0
2070141348791.0457	2703958364108.846	461797.0	459576.0
2703958364108.846	3531831697919.57	351282.0	349939.0
3531831697919.57	4613175745603.791	263774.0	265058.0
4613175745603.791	6025595860743.593	197358.0	198022.0
6025595860743.593	7870457896951.001	146679.0	147201.0
7870457896951.001	10280162981264.746	108080.0	109261.0
10280162981264.746	13427649611378.643	78507.0	79218.0
13427649611378.643	17538805018417.604	56539.0	57180.0
17538805018417.604	22908676527677.7	40098.0	40394.0
22908676527677.7	29922646366081.83	27735.0	27897.0
29922646366081.83	39084089579240.09	18941.0	19450.0
39084089579240.09	51050499997540.65	12599.0	12814.0
51050499997540.65	66680676921362.19	7926.0	8280.0
66680676921362.19	87096358995607.97	4917.0	5156.0
87096358995607.97	113762728582343.33	2908.0	3046.0
113762728582343.33	148593564228700.9	1579.0	1703.0
148593564228700.9	194088587759277.94	873.0	950.0
194088587759277.94	253512863049790.72	431.0	440.0
253512863049790.72	331131121482590.75	182.0	227.0
331131121482590.75	432513831035007.94	74.0	87.0
432513831035007.94	564936974812301.1	25.0	39.0
564936974812301.1	737904230129098.5	9.0	9.0
737904230129098.5	963829023623970.5	2.0	4.0
963829023623970.5	1258925411794166.2	1.0	0.0
