V_min	V_max	MD	UNIT
20.0	49.6	11765446	5779485
49.6	79.2	97811580	69851630
79.2	108.80000000000001	42156026	38018605
108.80000000000001	138.4	14549647	13726033
138.4	168.0	6040922	5872756
168.0	197.60000000000002	2913514	2878434
197.60000000000002	227.20000000000002	1560507	1549809
227.20000000000002	256.8	901702	899486
256.8	286.40000000000003	553023	551384
286.40000000000003	316.0	354063	354629
316.0	345.6	235254	235628
345.6	375.20000000000005	160230	161285
375.20000000000005	404.8	112712	112949
404.8	434.40000000000003	79942	80694
434.40000000000003	464.0	58484	58394
464.0	493.6	42532	42847
493.6	523.2	31973	31913
523.2	552.8000000000001	23523	24094
552.8000000000001	582.4	18140	18236
582.4	612.0	13652	13769
612.0	641.6	10570	10693
641.6	671.2	8321	8585
671.2	700.8000000000001	6398	6394
700.8000000000001	730.4000000000001	5002	5049
730.4000000000001	760.0	3846	3930
760.0	789.6	2994	3138
789.6	819.2	2400	2523
819.2	848.8000000000001	1812	1942
848.8000000000001	878.4000000000001	1509	1528
878.4000000000001	908.0	1117	1184
908.0	937.6	897	946
937.6	967.2	734	755
967.2	996.8000000000001	562	595
996.8000000000001	1026.4	467	462
1026.4	1056.0	369	359
1056.0	1085.6000000000001	257	317
1085.6000000000001	1115.2	210	250
1115.2	1144.8	207	183
1144.8	1174.4	142	151
1174.4	1204.0	97	151
1204.0	1233.6000000000001	89	90
1233.6000000000001	1263.2	67	69
1263.2	1292.8	53	59
1292.8	1322.4	43	46
1322.4	1352.0	32	36
1352.0	1381.6000000000001	41	31
1381.6000000000001	1411.2	18	18
1411.2	1440.8000000000002	14	20
1440.8000000000002	1470.4	15	12
1470.4	1500.0	7	22
