bin_min	bin_max	MD	UNIT
100000000.0	138005656.92686915	0	0
138005656.92686915	190455613.4381671	0	0
190455613.4381671	262839520.47944206	0	0
262839520.47944206	362733406.9010868	177	0
362733406.9010868	500592621.0870582	268	184
500592621.0870582	690846135.2586275	11917	294
690846135.2586275	953406747.3175598	1015	11209
953406747.3175598	1315755244.820694	300787	1116
1315755244.820694	1815816669.1645343	904	280410
1815816669.1645343	2505929722.8681097	415781	18883
2505929722.8681097	3458324776.169821	22318	359953
3458324776.169821	4772683826.0178385	463934	423519
4772683826.0178385	6586573667.1383505	1113491	492992
6586573667.1383505	9089844258.306458	1536227	1212583
9089844258.306458	12544499282.305176	3732929	1670021
12544499282.305176	17312118642.731644	7384724	4249972
17312118642.731644	23891703060.860786	25354400	11385754
23891703060.860786	32971901760.157837	24637691	21318928
32971901760.157837	45503089625.38776	21650613	20280272
45503089625.38776	62796837759.53867	17373340	14007641
62796837759.53867	86663188479.35156	13097479	11484770
86663188479.35156	119600102574.69992	9822508	8674673
119600102574.69992	165054907243.42465	7524687	6474147
165054907243.42465	227785109031.32272	5434314	4932057
227785109031.32272	314356336100.2621	4052994	3635313
314356336100.2621	433829526726.40344	2934167	2753588
433829526726.40344	598709288301.5005	2191262	2016332
598709288301.5005	826252686402.6687	1590724	1504621
826252686402.6687	1140275447745.9116	1170131	1112989
1140275447745.9116	1573644622437.544	851346	813574
1573644622437.544	2171718598889.2913	621655	594587
2171718598889.2913	2997094519000.165	448976	432289
2997094519000.165	4136159979665.367	320833	312313
4136159979665.367	5708134751483.447	228623	221941
5708134751483.447	7877548862055.642	160132	156237
7877548862055.642	10871463056814.994	111265	109319
10871463056814.994	15003234009119.424	75684	74225
15003234009119.424	20705311654560.793	50287	49847
20705311654560.793	28574501367632.223	32657	32121
28574501367632.223	39434428325978.23	20697	20653
39434428325978.23	54421741866621.62	12475	12342
54421741866621.62	75105082374076.14	7134	7345
75105082374076.14	103649262315810.0	3806	3899
103649262315810.0	143041845358787.44	1913	2001
143041845358787.44	197405838367710.88	918	921
197405838367710.88	272431224051354.03	357	405
272431224051354.03	375970500425981.94	135	144
375970500425981.94	518860558964113.75	42	55
518860558964113.75	716056922932853.4	12	10
716056922932853.4	988199060463809.5	2	4
