bin_min	bin_max	MD	UNIT
24.8799991607666	63.69439868927002	60126490	35014114
63.69439868927002	102.50879821777343	86141403	73584674
102.50879821777343	141.32319774627683	20849955	19581641
141.32319774627683	180.13759727478026	6640123	6482020
180.13759727478026	218.9519968032837	2690670	2667633
218.9519968032837	257.76639633178706	1272907	1268404
257.76639633178706	296.5807958602905	670413	668423
296.5807958602905	335.3951953887939	378995	380238
335.3951953887939	374.20959491729735	226339	227529
374.20959491729735	413.0239944458008	142198	142833
413.0239944458008	451.83839397430415	91531	91784
451.83839397430415	490.6527935028076	60899	61106
490.6527935028076	529.467193031311	41180	41148
529.467193031311	568.2815925598144	28101	28661
568.2815925598144	607.0959920883179	19682	19853
607.0959920883179	645.9103916168212	13882	14119
645.9103916168212	684.7247911453246	10180	10317
684.7247911453246	723.5391906738281	7175	7186
723.5391906738281	762.3535902023315	5146	5307
762.3535902023315	801.167989730835	3791	3926
801.167989730835	839.9823892593383	2666	2905
839.9823892593383	878.7967887878417	2015	2036
878.7967887878417	917.6111883163452	1453	1513
917.6111883163452	956.4255878448486	1019	1083
956.4255878448486	995.2399873733519	794	844
995.2399873733519	1034.0543869018554	609	588
1034.0543869018554	1072.8687864303588	414	456
1072.8687864303588	1111.6831859588622	286	339
1111.6831859588622	1150.4975854873655	263	256
1150.4975854873655	1189.3119850158691	160	201
1189.3119850158691	1228.1263845443725	114	131
1228.1263845443725	1266.9407840728759	93	93
1266.9407840728759	1305.7551836013793	74	65
1305.7551836013793	1344.5695831298826	37	58
1344.5695831298826	1383.3839826583862	51	43
1383.3839826583862	1422.1983821868896	23	25
1422.1983821868896	1461.012781715393	21	18
1461.012781715393	1499.8271812438963	9	28
1499.8271812438963	1538.6415807723997	7	15
1538.6415807723997	1577.4559803009033	10	3
1577.4559803009033	1616.2703798294067	3	4
1616.2703798294067	1655.08477935791	4	6
1655.08477935791	1693.8991788864134	4	7
1693.8991788864134	1732.7135784149168	1	0
1732.7135784149168	1771.5279779434202	2	3
1771.5279779434202	1810.3423774719238	1	0
1810.3423774719238	1849.1567770004272	0	1
1849.1567770004272	1887.9711765289305	1	1
1887.9711765289305	1926.785576057434	1	3
1926.785576057434	1965.5999755859375	1	0
