# sigma chi2 
[0.3] 64.67152309569397 
[0.30000001] 64.67187202644617 
[0.] 14.070665978007533 
[1.e-08] 14.069290187783926 
[0.23930657] 33.874958301787196 
[0.23930658] 33.87479103373481 
[0.25897355] 42.55315996518884 
[0.25897356] 42.55315996518884 
[0.24553369] 36.47481470265848 
[0.2455337] 36.47472361647658 
[0.24083998] 34.45722837120362 
[0.24083999] 34.45722837120362 
[0.23979551] 34.045817145159845 
[0.23979552] 34.04575587261786 
[0.23943789] 33.92319978656331 
[0.2394379] 33.92323530875511 
[0.23935308] 33.89333090429395 
[0.23935309] 33.89333090429395 
[0.23932138] 33.88283804068187 
[0.23932139] 33.88311909094285 
[0.23931419] 33.875949593620504 
[0.2393142] 33.875457372366846 
[0.23930747] 33.87554392792108 
[0.23930748] 33.87554392792108 
[0.23930685] 33.87566185723654 
[0.23930686] 33.87566185723654 
[0.23930664] 33.87573495453376 
[0.23930665] 33.875194560106245 
[0.23930658] 33.874958301787196 
[0.23930659] 33.87479103373481 
[0.23930657] 33.874958301787196 
[0.23930658] 33.87479103373481 
[0.23930657] 33.874958301787196 
[0.23930658] 33.875007575262785 
[0.23930657] 33.874958301787196 
[0.23930658] 33.87479103373481 
[0.23930657] 33.874958301787196 
[0.23930658] 33.87479103373481 
[0.23930657] 33.874958301787196 
[0.23930658] 33.87479103373481 
[0.23930657] 33.874958301787196 
[0.23930658] 33.87479103373481 
[0.23930657] 33.874958301787196 
[0.23930658] 33.87479103373481 
[0.23930657] 33.874958301787196 
[0.23930658] 33.87479103373481 
[1.] 498.82596647981234 
[1.00000001] 498.82596647981234 
[0.47560195] 189.83234046090672 
[0.47560196] 189.8334935752476 
[0.37144828] 112.25507181895841 
[0.37144829] 112.25507181895841 
[0.28043676] 53.541612971560944 
[0.28043677] 53.541612971560944 
[0.25227519] 39.37745603941788 
[0.2522752] 39.377908132340075 
[0.24631431] 36.801298769708204 
[0.24631432] 36.80032729449273 
[0.2397956] 34.04567886911897 
[0.23979561] 34.045817145159845 
[0.23953139] 33.94558839853434 
[0.2395314] 33.94619458931502 
[0.23943076] 33.92005665592889 
[0.23943077] 33.919913485101794 
[0.23933354] 33.88397053467135 
[0.23933355] 33.88397053467135 
[0.23931522] 33.87698227325076 
[0.23931523] 33.877047764978585 
[0.23930996] 33.87440393813081 
[0.23930997] 33.87440393813081 
