M_min	M_max	MD	UNIT
1995262314.9688828	2606153549.9988976	192540	0
2606153549.9988976	3404081897.0100093	7326	157546
3404081897.0100093	4446312674.691102	274520	6561
4446312674.691102	5807644175.213136	366549	224942
5807644175.213136	7585775750.291851	1023465	659004
7585775750.291851	9908319448.927687	766407	499517
9908319448.927687	12941958414.499863	3536802	1350235
12941958414.499863	16904409316.432632	7733548	3752114
16904409316.432632	22080047330.18906	18314761	7743635
22080047330.18906	28840315031.266117	29023123	20219491
28840315031.266117	37670379898.39093	22974320	20481191
37670379898.39093	49203953568.14511	19278022	15729108
49203953568.14511	64268771731.70194	16315458	14440416
64268771731.70194	83945998651.93965	13362651	11677412
83945998651.93965	109647819614.31874	10159092	9395968
109647819614.31874	143218789927.35452	8270170	7666665
143218789927.35452	187068214036.58017	6390386	5817789
187068214036.58017	244343055269.39713	4991114	4600286
244343055269.39713	319153785510.07715	3849699	3638134
319153785510.07715	416869383470.33636	2986979	2792287
416869383470.33636	544502652842.422	2276382	2216395
544502652842.422	711213513653.3296	1762947	1717126
711213513653.3296	928966386779.9363	1348119	1330012
928966386779.9363	1213388850464.976	1042929	1018602
1213388850464.976	1584893192461.1108	792671	786804
1584893192461.1108	2070141348791.0457	608900	604451
2070141348791.0457	2703958364108.846	461797	459576
2703958364108.846	3531831697919.57	351282	349939
3531831697919.57	4613175745603.791	263774	265058
4613175745603.791	6025595860743.593	197358	198022
6025595860743.593	7870457896951.001	146679	147201
7870457896951.001	10280162981264.746	108080	109261
10280162981264.746	13427649611378.643	78507	79218
13427649611378.643	17538805018417.604	56539	57180
17538805018417.604	22908676527677.7	40098	40394
22908676527677.7	29922646366081.83	27735	27897
29922646366081.83	39084089579240.09	18941	19450
39084089579240.09	51050499997540.65	12599	12814
51050499997540.65	66680676921362.19	7926	8280
66680676921362.19	87096358995607.97	4917	5156
87096358995607.97	113762728582343.33	2908	3046
113762728582343.33	148593564228700.9	1579	1703
148593564228700.9	194088587759277.94	873	950
194088587759277.94	253512863049790.72	431	440
253512863049790.72	331131121482590.75	182	227
331131121482590.75	432513831035007.94	74	87
432513831035007.94	564936974812301.1	25	39
564936974812301.1	737904230129098.5	9	9
737904230129098.5	963829023623970.5	2	4
963829023623970.5	1258925411794166.2	1	0
