bin_min	bin_max	MD	UNIT
100000000.0	136937991.12160915	0	0
136937991.12160915	187520134.12421906	0	0
187520134.12421906	256786304.61825264	0	0
256786304.61825264	351638007.019651	1781	0
351638007.019651	481526022.83277106	3500	1991
481526022.83277106	659392062.3949777	97662	3974
659392062.3949777	902958243.8590299	5908	96754
902958243.8590299	1236492879.8075163	2645	9643
1236492879.8075163	1693228509.9701457	2770714	2370919
1693228509.9701457	2318673106.651473	67822	71988
2318673106.651473	3175144372.9255333	2329930	1916723
3175144372.9255333	4347978919.495021	2176484	66692
4347978919.495021	5954034986.747529	2342297	1869211
5954034986.747529	8153335901.529834	5106608	3884977
8153335901.529834	11165014392.951895	6248341	4700293
11165014392.951895	15289146418.146849	16704756	9379748
15289146418.146849	20936649964.651752	18926284	12219713
20936649964.651752	28670227869.757202	22056448	22312477
28670227869.757202	39260434094.83307	20853225	16567072
39260434094.83307	53762449755.08794	16189826	12952125
53762449755.08794	73621218672.38159	12408769	10965422
73621218672.38159	100815417889.20636	9464678	8550085
100815417889.20636	138054607998.33456	7853401	6561660
138054607998.33456	189049206843.7317	6155096	4899367
189049206843.7317	258880186083.14178	4814040	3628444
258880186083.14178	354505326234.13794	3770451	2736902
354505326234.13794	485452472164.1353	2896841	2006519
485452472164.1353	664768863231.753	2209640	1474907
664768863231.753	910321126911.5237	1658158	1079728
910321126911.5237	1246575463948.2295	1245797	789841
1246575463948.2295	1707035398145.5845	916397	568456
1707035398145.5845	2337579981955.3257	668281	411665
2337579981955.3257	3201035068150.4966	479832	293695
3201035068150.4966	4383433117423.5225	340810	206635
4383433117423.5225	6002585253159.073	238708	144922
6002585253159.073	8219819661038.025	163783	99416
8219819661038.025	11256055917644.488	110236	67052
11256055917644.488	15413816853147.37	71922	44780
15413816853147.37	21107371153864.04	46100	28696
21107371153864.04	28904010036683.426	28637	18289
28904010036683.426	39580570697822.57	16738	10937
39580570697822.57	54200838388066.5	9417	6496
54200838388066.5	74221539259688.22	4992	3404
74221539259688.22	101637484841753.08	2539	1743
101637484841753.08	139180329968827.25	1184	879
139180329968827.25	190590747895738.2	498	376
190590747895738.2	260991141432074.4	193	135
260991141432074.4	357396026082440.44	43	50
357396026082440.44	489410938465756.2	14	16
489410938465756.2	670189507464421.2	5	5
