bin_min	bin_max	MD	UNIT
2493999501.3209906	3228635602.929506	186687	147812
3228635602.929506	4179667177.5526147	232826	6052
4179667177.5526147	5410835988.818197	308246	199667
5410835988.818197	7004659666.474522	402759	256798
7004659666.474522	9067962352.680975	1040329	698132
9067962352.680975	11739034463.472446	1645904	511278
11739034463.472446	15196901439.919556	4755127	2293033
15196901439.919556	19673322716.041634	9506996	5029721
19673322716.041634	25468325120.06936	22678928	9085129
25468325120.06936	32970311816.85736	21545945	18115908
32970311816.85736	42682094569.46964	18909448	17848689
42682094569.46964	55254594101.403404	15118127	12956418
55254594101.403404	71530467286.26796	12401732	11298029
71530467286.26796	92600585225.58026	10046301	8943135
92600585225.58026	119877147590.87106	7956181	7148496
119877147590.87106	155188333632.19162	6192971	5862457
155188333632.19162	200900833724.62833	4985823	4505014
200900833724.62833	260078473984.45535	3839764	3609967
260078473984.45535	336687565581.72	3025153	2900601
336687565581.72	435862742043.4662	2400309	2286513
435862742043.4662	564251101977.622	1865969	1794844
564251101977.622	730457722975.578	1454615	1426189
730457722975.578	945622406734.4885	1142371	1114228
945622406734.4885	1224166311057.2922	886607	873381
1224166311057.2922	1584758510854.9539	691132	679596
1584758510854.9539	2051567270755.9683	536749	532148
2051567270755.9683	2655879894386.193	415881	412857
2655879894386.193	3438199718796.2905	320433	318646
3438199718796.2905	4450960802601.702	244660	245639
4450960802601.702	5762042256589.018	186681	187134
5762042256589.018	7459317760630.621	141058	141000
7459317760630.621	9656545192884.047	105735	106732
9656545192884.047	12500991116690.086	78678	79174
12500991116690.086	16183301147363.078	57630	57941
16183301147363.078	20950277748504.457	41608	42235
20950277748504.457	27121421874485.496	29474	29794
27121421874485.496	35110347143074.62	20741	20929
35110347143074.62	45452501797735.99	14138	14581
45452501797735.99	58841056491254.05	9239	9419
58841056491254.05	76173363226826.66	5972	6226
76173363226826.66	98611099312068.6	3575	3814
98611099312068.6	127658127403123.19	2117	2282
127658127403123.19	165261290116026.78	1190	1285
165261290116026.78	213940894844627.0	640	670
213940894844627.0	276959634375267.25	309	344
276959634375267.25	358541265002136.9	141	153
358541265002136.9	464153698784676.9	52	69
464153698784676.9	600875483869932.1	19	29
600875483869932.1	777870235788899.6	7	8
777870235788899.6	1007000817921965.2	2	3
