bin_min	bin_max	MD	UNIT
24.8799991607666	63.69439868927002	53088956	30909026
63.69439868927002	102.50879821777343	74094920	63828720
102.50879821777343	141.32319774627683	17578993	16558305
141.32319774627683	180.13759727478026	5650086	5514368
180.13759727478026	218.9519968032837	2331157	2306821
218.9519968032837	257.76639633178706	1124046	1117286
257.76639633178706	296.5807958602905	602452	599994
296.5807958602905	335.3951953887939	345467	345959
335.3951953887939	374.20959491729735	209324	209912
374.20959491729735	413.0239944458008	132744	133080
413.0239944458008	451.83839397430415	86340	86283
451.83839397430415	490.6527935028076	57843	58003
490.6527935028076	529.467193031311	39407	39337
529.467193031311	568.2815925598144	27017	27541
568.2815925598144	607.0959920883179	19077	19186
607.0959920883179	645.9103916168212	13494	13707
645.9103916168212	684.7247911453246	9908	10031
684.7247911453246	723.5391906738281	7015	7019
723.5391906738281	762.3535902023315	5018	5200
762.3535902023315	801.167989730835	3716	3838
801.167989730835	839.9823892593383	2627	2854
839.9823892593383	878.7967887878417	1986	2002
878.7967887878417	917.6111883163452	1432	1493
917.6111883163452	956.4255878448486	1003	1074
956.4255878448486	995.2399873733519	785	838
995.2399873733519	1034.0543869018554	599	583
1034.0543869018554	1072.8687864303588	410	448
1072.8687864303588	1111.6831859588622	282	336
1111.6831859588622	1150.4975854873655	260	254
1150.4975854873655	1189.3119850158691	160	199
1189.3119850158691	1228.1263845443725	114	131
1228.1263845443725	1266.9407840728759	93	91
1266.9407840728759	1305.7551836013793	74	65
1305.7551836013793	1344.5695831298826	37	58
1344.5695831298826	1383.3839826583862	50	43
1383.3839826583862	1422.1983821868896	23	24
1422.1983821868896	1461.012781715393	21	18
1461.012781715393	1499.8271812438963	9	28
1499.8271812438963	1538.6415807723997	6	15
1538.6415807723997	1577.4559803009033	10	3
1577.4559803009033	1616.2703798294067	3	4
1616.2703798294067	1655.08477935791	4	6
1655.08477935791	1693.8991788864134	4	7
1693.8991788864134	1732.7135784149168	1	0
1732.7135784149168	1771.5279779434202	2	3
1771.5279779434202	1810.3423774719238	1	0
1810.3423774719238	1849.1567770004272	0	1
1849.1567770004272	1887.9711765289305	1	1
1887.9711765289305	1926.785576057434	1	3
1926.785576057434	1965.5999755859375	1	0
