#bin_min	bin_max	MD	UNIT
24.8799991607666	64.55860034942627	28554122	16830724
64.55860034942627	104.23720153808594	85626410	67693133
104.23720153808594	143.9158027267456	27123060	23892142
143.9158027267456	183.59440391540528	7820440	7282255
183.59440391540528	223.27300510406496	3011037	2880379
223.27300510406496	262.9516062927246	1401815	1356679
262.9516062927246	302.6302074813843	736665	717640
302.6302074813843	342.30880867004396	418783	411640
342.30880867004396	381.98740985870364	253057	249026
381.98740985870364	421.6660110473633	158383	157512
421.6660110473633	461.34461223602295	103362	102571
461.34461223602295	501.02321342468264	69298	68698
501.02321342468264	540.7018146133423	46944	46746
540.7018146133423	580.380415802002	32470	32513
580.380415802002	620.0590169906617	22630	22709
620.0590169906617	659.7376181793213	16113	16317
659.7376181793213	699.416219367981	11573	11849
699.416219367981	739.0948205566407	8392	8385
739.0948205566407	778.7734217453003	6012	6187
778.7734217453003	818.45202293396	4450	4564
818.45202293396	858.1306241226197	3146	3248
858.1306241226197	897.8092253112793	2322	2478
897.8092253112793	937.487826499939	1707	1724
937.487826499939	977.1664276885987	1283	1282
977.1664276885987	1016.8450288772583	932	992
1016.8450288772583	1056.523630065918	702	726
1056.523630065918	1096.2022312545778	455	532
1096.2022312545778	1135.8808324432373	356	409
1135.8808324432373	1175.559433631897	305	294
1175.559433631897	1215.2380348205568	188	238
1215.2380348205568	1254.9166360092163	171	162
1254.9166360092163	1294.595237197876	101	117
1294.595237197876	1334.2738383865358	88	76
1334.2738383865358	1373.9524395751953	59	66
1373.9524395751953	1413.631040763855	47	42
1413.631040763855	1453.3096419525148	30	38
1453.3096419525148	1492.9882431411743	19	24
1492.9882431411743	1532.666844329834	15	24
1532.666844329834	1572.3454455184938	9	12
1572.3454455184938	1612.0240467071535	7	13
1612.0240467071535	1651.702647895813	6	12
1651.702647895813	1691.3812490844728	5	8
1691.3812490844728	1731.0598502731325	4	1
1731.0598502731325	1770.738451461792	1	5
1770.738451461792	1810.4170526504518	1	1
1810.4170526504518	1850.0956538391115	1	1
1850.0956538391115	1889.774255027771	0	0
1889.774255027771	1929.4528562164307	2	2
1929.4528562164307	1969.1314574050905	0	2
1969.1314574050905	2008.81005859375	1	1
