#bin_min	bin_max	MD	UNIT
24.899999618530273	54.40159923553467	509706	245383
54.40159923553467	83.90319885253906	5950765	3968823
83.90319885253906	113.40479846954346	8411772	6437478
113.40479846954346	142.90639808654785	4783458	3932473
142.90639808654785	172.40799770355224	2161922	1889049
172.40799770355224	201.90959732055666	1005883	919261
201.90959732055666	231.41119693756104	504609	472609
231.41119693756104	260.91279655456543	270677	256558
260.91279655456543	290.4143961715698	151678	147190
290.4143961715698	319.9159957885742	89740	86195
319.9159957885742	349.4175954055786	54536	53575
349.4175954055786	378.91919502258304	34031	33437
378.91919502258304	408.4207946395874	21823	21760
408.4207946395874	437.9223942565918	14332	14057
437.9223942565918	467.4239938735962	9640	9511
467.4239938735962	496.9255934906006	6198	6375
496.9255934906006	526.427193107605	4218	4304
526.427193107605	555.9287927246094	2883	2868
555.9287927246094	585.4303923416138	1911	1964
585.4303923416138	614.9319919586181	1345	1350
614.9319919586181	644.4335915756226	835	920
644.4335915756226	673.9351911926269	644	664
673.9351911926269	703.4367908096314	458	484
703.4367908096314	732.9383904266358	323	317
732.9383904266358	762.4399900436401	239	231
762.4399900436401	791.9415896606446	168	159
791.9415896606446	821.4431892776489	113	146
821.4431892776489	850.9447888946534	71	80
850.9447888946534	880.4463885116577	71	63
880.4463885116577	909.9479881286621	44	49
909.9479881286621	939.4495877456665	36	25
939.4495877456665	968.9511873626709	21	23
968.9511873626709	998.4527869796754	11	16
998.4527869796754	1027.9543865966798	20	11
1027.9543865966798	1057.4559862136841	8	7
1057.4559862136841	1086.9575858306885	6	8
1086.9575858306885	1116.4591854476928	8	7
1116.4591854476928	1145.9607850646973	3	3
1145.9607850646973	1175.4623846817017	2	3
1175.4623846817017	1204.963984298706	1	1
1204.963984298706	1234.4655839157106	4	2
1234.4655839157106	1263.967183532715	0	1
1263.967183532715	1293.4687831497192	2	0
1293.4687831497192	1322.9703827667236	0	1
1322.9703827667236	1352.4719823837281	0	1
1352.4719823837281	1381.9735820007324	1	0
1381.9735820007324	1411.4751816177368	0	0
1411.4751816177368	1440.9767812347413	0	0
1440.9767812347413	1470.4783808517457	0	0
1470.4783808517457	1499.97998046875	1	0
